frequency;V(U_aus) (mag);V(U_aus) (phase);
1;-224.255;179.819;
1.25893;-224.255;179.773;
1.58489;-224.255;179.714;
1.99526;-224.255;179.64;
2.51189;-224.255;179.546;
3.16228;-224.255;179.429;
3.98107;-224.255;179.281;
5.01187;-224.256;179.095;
6.30957;-224.256;178.861;
7.94328;-224.257;178.566;
10;-224.259;178.195;
12.5893;-224.261;177.728;
15.8489;-224.265;177.141;
19.9526;-224.272;176.402;
25.1189;-224.282;175.474;
31.6228;-224.297;174.309;
39.8107;-224.322;172.849;
50.1187;-224.361;171.025;
63.0957;-224.422;168.754;
79.4328;-224.517;165.945;
100;-224.663;162.505;
125.893;-224.886;158.352;
158.489;-225.217;153.444;
199.526;-225.694;147.81;
251.189;-226.357;141.584;
316.228;-227.237;135.015;
398.107;-228.344;128.427;
501.187;-229.669;122.146;
630.957;-231.182;116.425;
794.328;-232.844;111.403;
1000;-234.617;107.11;
1258.93;-236.466;103.501;
1584.89;-238.369;100.489;
1995.26;-240.306;97.9729;
2511.89;-242.265;95.8484;
3162.28;-244.239;94.0188;
3981.07;-246.221;92.3949;
5011.87;-248.208;90.8947;
6309.57;-250.197;89.441;
7943.28;-252.186;87.9582;
10000;-254.173;86.3698;
12589.3;-256.154;84.595;
15848.9;-258.126;82.5465;
19952.6;-260.083;80.1289;
25118.9;-262.016;77.2401;
31622.8;-263.913;73.7762;
39810.7;-265.754;69.6449;
50118.7;-267.513;64.7882;
63095.7;-269.156;59.2161;
79432.8;-270.643;53.0405;
100000;-271.936;46.4897;
125893;-273.005;39.8805;
158489;-273.846;33.5469;
199526;-274.473;27.76;
251189;-274.92;22.6806;
316228;-275.227;18.3591;
398107;-275.433;14.7651;
501187;-275.567;11.823;
630957;-275.655;9.43996;
794328;-275.711;7.52328;
1e+06;-275.746;5.98866;
