frequency;V(U_aus) (mag);V(U_aus) (phase);
1;38.5521;147.868;
1.25893;37.8871;141.667;
1.58489;37.0057;135.131;
1.99526;35.8961;128.589;
2.51189;34.5692;122.369;
3.16228;33.0547;116.725;
3.98107;31.3916;111.798;
5.01187;29.6184;107.624;
6.30957;27.7679;104.162;
7.94328;25.8649;101.334;
10;23.9272;99.0464;
12.5893;21.967;97.2077;
15.8489;19.9924;95.7364;
19.9526;18.0084;94.5621;
25.1189;16.0185;93.6264;
31.6228;14.025;92.8818;
39.8107;12.029;92.2896;
50.1187;10.0316;91.8187;
63.0957;8.0332;91.4444;
79.4328;6.03422;91.147;
100;4.03486;90.9105;
125.893;2.03527;90.7225;
158.489;0.0355302;90.5729;
199.526;-1.9643;90.4538;
251.189;-3.9642;90.3589;
316.228;-5.96412;90.2831;
398.107;-7.96407;90.2224;
501.187;-9.96402;90.1735;
630.957;-11.964;90.1339;
794.328;-13.9639;90.1014;
1000;-15.9638;90.0743;
1258.93;-17.9637;90.0512;
1584.89;-19.9634;90.0307;
1995.26;-21.9631;90.012;
2511.89;-23.9625;89.9938;
3162.28;-25.9617;89.9753;
3981.07;-27.9603;89.9556;
5011.87;-29.9581;89.9334;
6309.57;-31.9546;89.9077;
7943.28;-33.9491;89.8772;
10000;-35.9403;89.8401;
12589.3;-37.9265;89.7947;
15848.9;-39.9046;89.7385;
19952.6;-41.87;89.6688;
25118.9;-43.8154;89.5824;
31622.8;-45.7297;89.4753;
39810.7;-47.5954;89.3434;
50118.7;-49.3869;89.1825;
63095.7;-51.0663;88.9891;
79432.8;-52.5812;88.7615;
100000;-53.8639;88.5007;
125893;-54.8359;88.2106;
158489;-55.4209;87.8954;
199526;-55.5642;87.553;
251189;-55.2508;87.169;
316228;-54.5108;86.7127;
398107;-53.4081;86.1398;
501187;-52.0201;85.3952;
630957;-50.4202;84.4133;
794328;-48.6676;83.1112;
1e+06;-46.8049;81.3754;
