time;V(/U_ein);V(U_aus);
0;0;0.00114958;
1e-05;6.28319e-05;0.00114896;
2e-05;0.000125664;0.00114771;
4e-05;0.000251327;0.00114394;
8e-05;0.000502655;0.00112888;
0.00016;0.00100531;0.00106863;
0.00032;0.00201062;0.000827739;
0.00064;0.00402123;-0.000134642;
0.00128;0.00804239;-0.0039741;
0.00228;0.0143252;-0.0150504;
0.00328;0.0206074;-0.0322673;
0.00428;0.0268888;-0.0555631;
0.00528;0.0331691;-0.0848762;
0.00628;0.0394482;-0.120146;
0.00728;0.0457256;-0.161311;
0.00828;0.0520013;-0.208311;
0.00928;0.0582749;-0.261087;
0.01028;0.0645462;-0.319578;
0.01128;0.070815;-0.383726;
0.01228;0.077081;-0.45347;
0.01328;0.0833439;-0.528754;
0.01428;0.0896035;-0.609518;
0.01528;0.0958597;-0.695704;
0.01628;0.102112;-0.787256;
0.01728;0.10836;-0.884115;
0.01828;0.114604;-0.986224;
0.01928;0.120844;-1.09353;
0.02028;0.127078;-1.20597;
0.02128;0.133308;-1.32349;
0.02228;0.139533;-1.44604;
0.02328;0.145752;-1.57356;
0.02428;0.151965;-1.70599;
0.02528;0.158172;-1.84329;
0.02628;0.164373;-1.98539;
0.02728;0.170567;-2.13224;
0.02828;0.176755;-2.2838;
0.02928;0.182936;-2.43999;
0.03028;0.189109;-2.60078;
0.03128;0.195275;-2.76611;
0.03228;0.201434;-2.93592;
0.03328;0.207584;-3.11016;
0.03428;0.213726;-3.28879;
0.03528;0.21986;-3.47174;
0.03628;0.225985;-3.65897;
0.03728;0.232101;-3.85043;
0.03828;0.238208;-4.04606;
0.03928;0.244306;-4.24582;
0.04028;0.250394;-4.44965;
0.04128;0.256472;-4.65751;
0.04228;0.262539;-4.86933;
0.04328;0.268597;-5.08509;
0.04428;0.274644;-5.30471;
0.04528;0.28068;-5.52816;
0.04628;0.286705;-5.75539;
0.04728;0.292719;-5.98634;
0.04828;0.298721;-6.22098;
0.04928;0.304711;-6.45924;
0.05028;0.31069;-6.70108;
0.05128;0.316656;-6.94647;
0.05228;0.322609;-7.19533;
0.05328;0.32855;-7.44764;
0.05428;0.334478;-7.70334;
0.05528;0.340393;-7.96239;
0.05628;0.346294;-8.22474;
0.05728;0.352181;-8.49034;
0.05828;0.358055;-8.75914;
0.05928;0.363915;-9.03111;
0.06028;0.36976;-9.3062;
0.06128;0.37559;-9.58435;
0.06228;0.381406;-9.86553;
0.06328;0.387207;-10.1497;
0.0641788;0.392407;-10.3837;
0.0646138;0.39492;-10.4245;
0.0649399;0.396801;-10.4367;
0.0652644;0.398672;-10.4435;
0.0656608;0.400955;-10.4485;
0.0664536;0.405513;-10.4537;
0.0672002;0.409797;-10.456;
0.0681352;0.415148;-10.4574;
0.0691352;0.420856;-10.4582;
0.0701352;0.426548;-10.4588;
0.0711352;0.432222;-10.4593;
0.0721352;0.437879;-10.4597;
0.0731352;0.443519;-10.4601;
0.0741352;0.449142;-10.4605;
0.0751352;0.454747;-10.4609;
0.0761352;0.460334;-10.4613;
0.0771352;0.465903;-10.4617;
0.0781352;0.471453;-10.462;
0.0791352;0.476985;-10.4624;
0.0801352;0.482498;-10.4627;
0.0811352;0.487992;-10.4631;
0.0821352;0.493466;-10.4634;
0.0831352;0.498921;-10.4637;
0.0841352;0.504357;-10.464;
0.0851352;0.509772;-10.4644;
0.0861352;0.515168;-10.4647;
0.0871352;0.520543;-10.465;
0.0881352;0.525897;-10.4652;
0.0891352;0.531231;-10.4655;
0.0901352;0.536544;-10.4658;
0.0911352;0.541835;-10.4661;
0.0921352;0.547105;-10.4664;
0.0931352;0.552354;-10.4666;
0.0941352;0.557581;-10.4669;
0.0951352;0.562786;-10.4671;
0.0961352;0.567968;-10.4674;
0.0971352;0.573128;-10.4676;
0.0981352;0.578266;-10.4679;
0.0991352;0.58338;-10.4681;
0.100135;0.588472;-10.4683;
0.101135;0.59354;-10.4686;
0.102135;0.598585;-10.4688;
0.103135;0.603607;-10.469;
0.104135;0.608604;-10.4692;
0.105135;0.613578;-10.4694;
0.106135;0.618527;-10.4696;
0.107135;0.623452;-10.4698;
0.108135;0.628352;-10.47;
0.109135;0.633228;-10.4702;
0.110135;0.638078;-10.4704;
0.111135;0.642903;-10.4705;
0.112135;0.647703;-10.4707;
0.113135;0.652477;-10.4709;
0.114135;0.657226;-10.4711;
0.115135;0.661949;-10.4712;
0.116135;0.666645;-10.4714;
0.117135;0.671315;-10.4715;
0.118135;0.675959;-10.4717;
0.119135;0.680576;-10.4719;
0.120135;0.685166;-10.472;
0.121135;0.689729;-10.4721;
0.122135;0.694265;-10.4723;
0.123135;0.698773;-10.4724;
0.124135;0.703254;-10.4726;
0.125135;0.707707;-10.4727;
0.126135;0.712132;-10.4728;
0.127135;0.716529;-10.473;
0.128135;0.720898;-10.4731;
0.129135;0.725238;-10.4732;
0.130135;0.72955;-10.4733;
0.131135;0.733832;-10.4734;
0.132135;0.738086;-10.4735;
0.133135;0.742311;-10.4737;
0.134135;0.746506;-10.4738;
0.135135;0.750672;-10.4739;
0.136135;0.754809;-10.474;
0.137135;0.758915;-10.4741;
0.138135;0.762992;-10.4742;
0.139135;0.767038;-10.4743;
0.140135;0.771054;-10.4743;
0.141135;0.77504;-10.4744;
0.142135;0.778995;-10.4745;
0.143135;0.782919;-10.4746;
0.144135;0.786813;-10.4747;
0.145135;0.790675;-10.4748;
0.146135;0.794506;-10.4748;
0.147135;0.798306;-10.4749;
0.148135;0.802074;-10.475;
0.149135;0.805811;-10.4751;
0.150135;0.809516;-10.4751;
0.151135;0.813189;-10.4752;
0.152135;0.816829;-10.4753;
0.153135;0.820438;-10.4753;
0.154135;0.824014;-10.4754;
0.155135;0.827558;-10.4755;
0.156135;0.831068;-10.4755;
0.157135;0.834547;-10.4756;
0.158135;0.837992;-10.4756;
0.159135;0.841404;-10.4757;
0.160135;0.844783;-10.4757;
0.161135;0.848128;-10.4758;
0.162135;0.85144;-10.4758;
0.163135;0.854719;-10.4759;
0.164135;0.857963;-10.4759;
0.165135;0.861174;-10.476;
0.166135;0.864351;-10.476;
0.167135;0.867493;-10.476;
0.168135;0.870602;-10.4761;
0.169135;0.873676;-10.4761;
0.170135;0.876715;-10.4761;
0.171135;0.87972;-10.4762;
0.172135;0.882691;-10.4762;
0.173135;0.885626;-10.4762;
0.174135;0.888526;-10.4763;
0.175135;0.891392;-10.4763;
0.176135;0.894222;-10.4763;
0.177135;0.897017;-10.4764;
0.178135;0.899776;-10.4764;
0.179135;0.9025;-10.4764;
0.180135;0.905188;-10.4764;
0.181135;0.907841;-10.4764;
0.182135;0.910458;-10.4765;
0.183135;0.913038;-10.4765;
0.184135;0.915583;-10.4765;
0.185135;0.918092;-10.4765;
0.186135;0.920564;-10.4765;
0.187135;0.923;-10.4765;
0.188135;0.925399;-10.4765;
0.189135;0.927762;-10.4766;
0.190135;0.930089;-10.4766;
0.191135;0.932378;-10.4766;
0.192135;0.934631;-10.4766;
0.193135;0.936847;-10.4766;
0.194135;0.939026;-10.4766;
0.195135;0.941168;-10.4766;
0.196135;0.943273;-10.4766;
0.197135;0.94534;-10.4766;
0.198135;0.947371;-10.4766;
0.199135;0.949363;-10.4766;
0.200135;0.951319;-10.4766;
0.201135;0.953236;-10.4767;
0.202135;0.955116;-10.4767;
0.203135;0.956959;-10.4767;
0.204135;0.958763;-10.4767;
0.205135;0.96053;-10.4767;
0.206135;0.962259;-10.4767;
0.207135;0.96395;-10.4767;
0.208135;0.965603;-10.4767;
0.209135;0.967217;-10.4767;
0.210135;0.968794;-10.4767;
0.211135;0.970332;-10.4767;
0.212135;0.971832;-10.4767;
0.213135;0.973294;-10.4767;
0.214135;0.974717;-10.4767;
0.215135;0.976102;-10.4767;
0.216135;0.977448;-10.4767;
0.217135;0.978755;-10.4767;
0.218135;0.980024;-10.4767;
0.219135;0.981255;-10.4767;
0.220135;0.982446;-10.4767;
0.221135;0.983599;-10.4767;
0.222135;0.984713;-10.4767;
0.223135;0.985788;-10.4767;
0.224135;0.986824;-10.4767;
0.225135;0.987821;-10.4767;
0.226135;0.988779;-10.4767;
0.227135;0.989698;-10.4767;
0.228135;0.990578;-10.4767;
0.229135;0.991419;-10.4767;
0.230135;0.992221;-10.4767;
0.231135;0.992983;-10.4767;
0.232135;0.993707;-10.4767;
0.233135;0.994391;-10.4767;
0.234135;0.995036;-10.4767;
0.235135;0.995642;-10.4767;
0.236135;0.996208;-10.4767;
0.237135;0.996735;-10.4767;
0.238135;0.997223;-10.4767;
0.239135;0.997671;-10.4767;
0.240135;0.99808;-10.4767;
0.241135;0.998449;-10.4767;
0.242135;0.998779;-10.4767;
0.243135;0.99907;-10.4767;
