#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AA2AFF
#Date Time: 2023-12-05 18:49:30.314
#Sample rate: 2090Hz
#Samples: 4461
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 1 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average
#Channel 2: Range: 2 V/div Offset: 0 V Attenuation: 1 X Sample Mode: Average

Time (s),Channel 1 (V),Channel 2 (V)
-2.862205358851675,0.1685421634745539,-6.165578836542372
-2.861726888851675,0.1536852767136183,-6.213959940776504
-2.861248418851675,0.1425426116429149,-6.258619421608011
-2.860769948851675,0.127685724881981,-6.292114032231646
-2.860291478851675,0.1128288381210454,-6.325608642855276
-2.859813008851675,0.09797195136010983,-6.351660006673657
-2.859334538851675,0.08311506459917424,-6.370268123686787
-2.858856068851675,0.07197239952847086,-6.388876240699915
-2.858377598851675,0.05340129107730474,-6.400041110907795
-2.857899128851675,0.03854440431636746,-6.403762734310424
-2.857420658851675,0.02368751755543187,-6.403762734310425
-2.856942188851675,0.008830630794489513,-6.396319487505175
-2.856463718851675,-0.002312034276212183,-6.381432993894673
-2.855985248851675,-0.02088314272738168,-6.362824876881546
-2.855506778851675,-0.03574002948831727,-6.340495136465792
-2.855028308851675,-0.04688269455901897,-6.310722149244789
-2.854549838851675,-0.06545380301018845,-6.277227538621159
-2.854071368851675,-0.07659646808089016,-6.236289681192279
-2.853592898851675,-0.09145335484182575,-6.187908576958148
-2.853114428851675,-0.1063102416027613,-6.135805849321391
-2.852635958851675,-0.1211671283636969,-6.076259874879383
-2.852157488851675,-0.1360240151246325,-6.009270653632124
-2.851679018851675,-0.1471666801953342,-5.938559808982241
-2.851200548851675,-0.1620235669562698,-5.860405717527105
-2.850722078851675,-0.1768804537172054,-5.778530002669345
-2.850243608851675,-0.191737340478141,-5.689211041006333
-2.849765138851675,-0.2065942272390766,-5.596170455940696
-2.849286668851675,-0.2177368923097783,-5.495686624069808
-2.848808198851675,-0.22887955738048,-5.391481168796295
-2.848329728851675,-0.2437364441414156,-5.283554090120155
-2.847851258851675,-0.2548791092121173,-5.16446214123614
-2.847372788851675,-0.266021774282819,-5.045370192352125
-2.846894318851675,-0.2808786610437546,-4.918834996662858
-2.846415848851675,-0.2920213261144562,-4.788578177570967
