frequency;V(U_aus) (mag);V(U_aus) (phase);
1;-0.00024946;179.64;
1.25893;-0.000349745;179.547;
1.58489;-0.00050868;179.429;
1.99526;-0.000760564;179.282;
2.51189;-0.00115974;179.096;
3.16228;-0.00179233;178.862;
3.98107;-0.00279471;178.567;
5.01187;-0.00438291;178.196;
6.30957;-0.00689885;177.73;
7.94328;-0.0108834;177.143;
10;-0.0171909;176.404;
12.5893;-0.027169;175.477;
15.8489;-0.0429363;174.313;
19.9526;-0.0678092;172.854;
25.1189;-0.106941;171.03;
31.6228;-0.168246;168.761;
39.8107;-0.263671;165.955;
50.1187;-0.41074;162.519;
63.0957;-0.634085;158.373;
79.4328;-0.966093;153.474;
100;-1.44525;147.855;
125.893;-2.11059;141.652;
158.489;-2.99239;135.116;
199.526;-4.10243;128.574;
251.189;-5.42972;122.353;
316.228;-6.9445;116.709;
398.107;-8.60787;111.783;
501.187;-10.3812;107.608;
630.957;-12.2318;104.146;
794.328;-14.1348;101.316;
1000;-16.0724;99.0255;
1258.93;-18.0325;97.1833;
1584.89;-20.007;95.707;
1995.26;-21.9906;94.5262;
2511.89;-23.9799;93.5822;
3162.28;-25.9726;92.8268;
3981.07;-27.9672;92.2209;
5011.87;-29.9624;91.7328;
6309.57;-31.9573;91.3366;
7943.28;-33.9508;91.0115;
10000;-35.9414;90.7403;
12589.3;-37.9272;90.5086;
15848.9;-39.905;90.3042;
19952.6;-41.8702;90.1164;
25118.9;-43.8156;89.9356;
31622.8;-45.7298;89.7531;
39810.7;-47.5955;89.5607;
50118.7;-49.3869;89.351;
63095.7;-51.0663;89.1181;
79432.8;-52.5812;88.8584;
100000;-53.8638;88.5716;
125893;-54.8358;88.2607;
158489;-55.4208;87.9291;
199526;-55.5642;87.5747;
251189;-55.2508;87.1822;
316228;-54.5108;86.7204;
398107;-53.408;86.144;
501187;-52.0201;85.3975;
630957;-50.4202;84.4145;
794328;-48.6675;83.1118;
1e+06;-46.8049;81.3757;
