#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2AFF
#Date Time: 2023-12-05 19:57:47.139
#Start: 5.15 Hz
#Stop: 300000 Hz
#Steps: 51
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.53629 V
#Offset: 0.000112316 V
#Relative: no
#Channel: Channel 2
#Range: 5.55112 V
#Offset: -0.000281603 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
5.150000000000006,-0.6484686542310527,-0.02683613729839135,-181.9028845964964
6.413771884912346,-0.4572585148018474,-0.02768161141081717,-182.3941018837226
7.987664037221751,-0.325529277866681,-0.03042490425718658,-183.001547281781
9.947777675351116,-0.2347771328047655,-0.03722783799777865,-183.7608255978498
12.38888869350009,-0.1733145588695944,-0.04833464186872804,-184.7037535087156
15.42903028886975,-0.1316389650934056,-0.06592758012154841,-185.8678254362582
19.21520013169198,-0.1035083578536818,-0.09365960098262184,-187.3104603251045
23.93046803254561,-0.08410336202204574,-0.1359785424079872,-189.0868678543133
29.80282777862807,-0.0710505315912153,-0.2000374384453122,-191.2661638655025
37.11622114513568,-0.06221022884731722,-0.2961700563897757,-193.9276677091586
46.22426711744855,-0.05649528987776307,-0.4390330209561405,-197.1408773717862
57.56736016282895,-0.05226590979353243,-0.6490902869772813,-200.9774532267222
71.69396429145144,-0.04950011480266994,-0.953320451910332,-205.4686310449401
89.28713252241171,-0.04780775599057949,-1.381307021785408,-210.5956779442377
111.1975340304245,-0.04626358721770648,-1.966078305154247,-216.2589638463261
138.4845859098872,-0.0454332725640464,-2.733181792223335,-222.2733240332925
172.4676783694295,-0.04448928626233954,-3.69660618622515,-228.3861889516307
214.7899702100875,-0.04383054871067255,-4.853554613533491,-234.3255479609937
267.4978392416731,-0.04333901663987956,-6.186178990264549,-239.8555264188546
333.1398292433091,-0.04338795004798169,-7.666693515235177,-244.8203513876984
414.8898777757734,-0.0432275816465451,-9.262738954303046,-249.1449475514328
516.7007831869843,-0.04277615205518073,-10.94538975859716,-252.8264410434818
643.4953312848284,-0.04247959094780668,-12.68984116466364,-255.9087497814949
801.4043230809666,-0.04224546652467684,-14.47772717614862,-258.4618815149535
998.0630127813413,-0.04170630556327366,-16.29751251133712,-260.5570579856471
1242.980289465606,-0.04151582677587899,-18.13953210073717,-262.264725566562
1547.998453218389,-0.04042682787740261,-19.98660299503002,-263.6541566601154
1927.865816920367,-0.04048522437756032,-21.85520633054091,-264.7834517772718
2400.949820281048,-0.03990533865827668,-23.72573917946194,-265.7068590258251
2990.125136777457,-0.03713351290236547,-25.58997400143718,-266.4586395596706
3723.879715462701,-0.03484642968367741,-27.49968209020219,-267.0698101248465
4637.692237248547,-0.03392321533472464,-29.37350712697974,-267.5147187028596
5775.747588765229,-0.02676319217965144,-31.25927237110935,-267.8718207399181
7193.073300810221,-0.03924352999538958,-33.12298002232143,-268.2307824626433
8958.20025298062,-0.01804406115429984,-34.99013473539109,-268.3655843860023
11156.47629553041,-0.02262485991697381,-36.80716971989543,-268.7058449283823
13894.19300950755,-0.00878933416032544,-38.69084110103807,-268.8618615271479
17303.72514328641,-0.004491983961070719,-40.44350534976802,-268.6592556280759
21549.93122878857,-0.0008837013287034689,-42.23594527686701,-268.805914556074
26838.1248615531,0.0006286993521436583,-44.00275993972245,-268.4743414172691
33424.00207394099,0.003409118184544567,-45.69152178246809,-269.4342935879577
41626.00481225127,0.01926378555081967,-46.88086103327451,-268.5350812128258
51840.71831961997,0.02822226056949128,-48.65375068672027,-269.9988633694081
64562.04692272594,0.03818061579307602,-50.04589240803948,-269.2249915243697
80405.09541463509,0.05004047490553915,-51.08524282236061,-267.7165355199185
100135.9107522486,0.05485764983239626,-51.60010288993387,-270.0727295978708
124708.522146187,0.05839809506497719,-52.15316334135907,-268.284858514623
155311.0705145982,0.05470504958910099,-52.02400587857929,-270.3373472021472
193423.2577635276,0.05506148594086529,-51.51080685174269,-271.2295624638701
240887.8936955079,0.03627309631797932,-51.09412927539697,-272.0727517216868
300000,0.01051527830438837,-50.64203507186957,-275.9781276119955
