frequency;V(band) (mag);V(band) (phase);V(hoch) (mag);V(hoch) (phase);V(tief) (mag);V(tief) (phase);
1;-43.8063;-90.4409;-93.8624;179.473;5.03596;-0.369719;
1.25893;-41.8064;-90.522;-89.8625;179.41;5.03592;-0.465448;
1.58489;-39.8065;-90.6309;-85.8626;179.315;5.03584;-0.585963;
1.99526;-37.8066;-90.7733;-81.8627;179.184;5.03572;-0.737681;
2.51189;-35.8068;-90.957;-77.8629;179.009;5.03553;-0.928681;
3.16228;-33.8071;-91.1916;-73.8632;178.781;5.03522;-1.16913;
3.98107;-31.8076;-91.4896;-69.8637;178.489;5.03474;-1.47182;
5.01187;-29.8083;-91.867;-65.8644;178.116;5.03398;-1.85287;
6.30957;-27.8095;-92.3437;-61.8656;177.643;5.03277;-2.33254;
7.94328;-25.8114;-92.9451;-57.8676;177.044;5.03086;-2.93632;
10;-23.8145;-93.7032;-53.8706;176.288;5.02783;-3.69627;
12.5893;-21.8193;-94.6581;-49.8754;175.335;5.02302;-4.65264;
15.8489;-19.8269;-95.8602;-45.883;174.135;5.01541;-5.85595;
19.9526;-17.8389;-97.3727;-41.8951;172.623;5.00335;-7.36946;
25.1189;-15.858;-99.2745;-37.9142;170.722;4.98426;-9.27214;
31.6228;-13.8882;-101.664;-33.9444;168.334;4.95405;-11.662;
39.8107;-11.936;-104.661;-29.9921;165.338;4.9063;-14.6599;
50.1187;-10.0114;-108.413;-26.0675;161.586;4.83093;-18.4125;
63.0957;-8.13003;-113.094;-22.1862;156.906;4.71227;-23.0941;
79.4328;-6.31608;-118.903;-18.3722;151.098;4.52622;-28.9033;
100;-4.60587;-126.05;-14.662;143.951;4.23643;-36.0509;
125.893;-3.05232;-134.727;-11.1084;135.275;3.78998;-44.7282;
158.489;-1.72805;-145.044;-7.78418;124.958;3.11425;-55.0461;
199.526;-0.722926;-156.938;-4.77906;113.065;2.11938;-66.9409;
251.189;-0.129722;-170.069;-2.18586;99.9355;0.71259;-80.0728;
316.228;-0.0162855;176.207;-0.0724334;86.2121;-1.17396;-93.7985;
398.107;-0.396884;162.707;1.54695;72.7141;-3.55455;-107.3;
501.187;-1.22533;150.181;2.71849;60.1901;-6.38297;-119.827;
630.957;-2.41617;139.111;3.52761;49.1226;-9.57378;-130.899;
794.328;-3.87555;129.676;4.06818;39.6899;-13.0331;-140.338;
1000;-5.5221;121.829;4.42154;31.8465;-16.6796;-148.189;
1258.93;-7.29411;115.404;4.64939;25.4268;-20.4514;-154.617;
1584.89;-9.1482;110.194;4.79508;20.2221;-24.3053;-159.834;
1995.26;-11.0552;105.988;4.88777;16.0238;-28.2119;-164.046;
2511.89;-12.9958;102.599;4.94654;12.6433;-32.152;-167.445;
3162.28;-14.9578;99.8619;4.98373;9.91834;-36.1131;-170.193;
3981.07;-16.9329;97.6415;5.00722;7.71255;-40.0869;-172.428;
5011.87;-18.9159;95.8236;5.02202;5.91298;-44.0677;-174.263;
6309.57;-20.9031;94.3135;5.03131;4.42604;-48.0516;-175.796;
7943.28;-22.8918;93.0321;5.03709;3.17368;-52.0351;-177.106;
10000;-24.8796;91.9116;5.0406;2.08976;-56.0148;-178.261;
12589.3;-26.8637;90.8929;5.04259;1.11686;-59.9871;-179.325;
15848.9;-28.8409;89.9219;5.04349;0.20331;-63.9473;179.648;
19952.6;-30.8063;88.9473;5.04351;-0.699444;-67.8902;178.604;
25118.9;-32.7526;87.9181;5.04263;-1.6394;-71.8119;177.485;
31622.8;-34.6689;86.7806;5.04069;-2.66652;-75.7164;176.232;
39810.7;-36.5381;85.4768;5.03724;-3.83534;-79.6328;174.767;
50118.7;-38.3354;83.9419;5.03156;-5.20779;-83.6661;172.978;
63095.7;-40.0242;82.1027;5.02242;-6.85632;-88.1466;170.624;
79432.8;-41.5542;79.8755;5.00786;-8.86749;-94.261;166.798;
100000;-42.8613;77.1645;4.98478;-11.3459;-112.804;134.182;
125893;-43.8725;73.8574;4.94828;-14.4188;-95.4471;-10.2744;
158489;-44.5207;69.817;4.8907;-18.24;-87.7865;-16.4763;
199526;-44.7649;64.8692;4.80016;-22.9943;-82.532;-21.8857;
251189;-44.6119;58.7905;4.65843;-28.8983;-78.0619;-28.0367;
316228;-44.1242;51.3078;4.43813;-36.1961;-73.9669;-35.4172;
398107;-43.4131;42.1149;4.09927;-45.1456;-70.1246;-44.3632;
501187;-42.6246;30.9051;3.58605;-55.9867;-66.5188;-55.148;
630957;-41.9246;17.4144;2.82561;-68.8904;-63.1844;-67.9637;
794328;-41.4918;1.45599;1.73174;-83.8925;-60.1833;-82.8703;
1e+06;-41.5136;-17.0994;0.215803;-100.838;-57.5835;-99.7563;
