frequency;V(U_aus) (mag);V(U_aus) (phase);
1;-7.80152e-05;179.28;
1.25893;-7.80259e-05;179.094;
1.58489;-7.80428e-05;178.859;
1.99526;-7.80696e-05;178.563;
2.51189;-7.81121e-05;178.192;
3.16228;-7.81795e-05;177.723;
3.98107;-7.82862e-05;177.134;
5.01187;-7.84552e-05;176.393;
6.30957;-7.87228e-05;175.459;
7.94328;-7.91463e-05;174.285;
10;-7.98159e-05;172.809;
12.5893;-8.08731e-05;170.954;
15.8489;-8.25389e-05;168.626;
19.9526;-8.51544e-05;165.708;
25.1189;-8.9239e-05;162.062;
31.6228;-9.55647e-05;157.524;
39.8107;-0.000105235;151.912;
50.1187;-0.000119729;145.04;
63.0957;-0.000140823;136.748;
79.4328;-0.000170243;126.952;
100;-0.000208927;115.714;
125.893;-0.000256035;103.309;
158.489;-0.000308325;90.2364;
199.526;-0.000360718;77.1511;
251.189;-0.0004081;64.7103;
316.228;-0.000447145;53.4222;
398.107;-0.000476934;43.5688;
501.187;-0.000498369;35.2193;
630.957;-0.000513174;28.2941;
794.328;-0.000523156;22.6342;
1000;-0.000529841;18.0533;
1258.93;-0.000534402;14.3689;
1584.89;-0.00053771;11.4164;
1995.26;-0.000540434;9.05515;
2511.89;-0.000543141;7.16759;
3162.28;-0.000546408;5.65745;
3981.07;-0.000550938;4.44645;
5011.87;-0.000557708;3.47116;
6309.57;-0.000568177;2.68018;
7943.28;-0.000584606;2.03166;
10000;-0.00061054;1.4912;
12589.3;-0.000651577;1.03008;
15848.9;-0.000716576;0.62378;
19952.6;-0.000819565;0.250684;
25118.9;-0.000982773;-0.109067;
31622.8;-0.00124143;-0.474625;
39810.7;-0.00165135;-0.865451;
50118.7;-0.002301;-1.30234;
63095.7;-0.00333055;-1.80855;
79432.8;-0.0049621;-2.41098;
100000;-0.00754749;-3.14163;
125893;-0.011644;-4.03925;
158489;-0.0181337;-5.15129;
199526;-0.0284122;-6.53629;
251189;-0.0446851;-8.26666;
316228;-0.0704322;-10.4319;
398107;-0.111129;-13.1419;
501187;-0.175353;-16.5304;
630957;-0.276452;-20.7569;
794328;-0.434963;-26.0056;
1e+06;-0.681915;-32.4763;
