time;V(U_aus);V(U_ein);
0;2.15208e-05;0;
5e-07;-0.00260029;0.00314159;
5.05466e-07;-0.00262927;0.00317593;
5.16398e-07;-0.00268785;0.00324462;
5.38263e-07;-0.00280856;0.003382;
5.81992e-07;-0.00306151;0.00365676;
6.6945e-07;-0.00359382;0.00420627;
8.44366e-07;-0.00468886;0.00530528;
1.088e-06;-0.00621808;0.00683607;
1.45105e-06;-0.00849316;0.00911712;
2.17716e-06;-0.0130398;0.0136791;
3.62936e-06;-0.0221112;0.022802;
6.53377e-06;-0.0401695;0.0410414;
1.23426e-05;-0.0759237;0.0774731;
2.39602e-05;-0.14583;0.149979;
4.71955e-05;-0.278031;0.292211;
8.73917e-05;-0.476293;0.521918;
0.000135164;-0.648045;0.750792;
0.000193978;-0.745479;0.938686;
0.000256239;-0.700909;0.999232;
0.000326393;-0.48129;0.886999;
0.000385986;-0.185246;0.656654;
0.000433083;0.090475;0.40817;
0.000480311;0.376746;0.123392;
0.000529198;0.655919;-0.182432;
0.000591832;0.94614;-0.54551;
0.00066092;1.12848;-0.847412;
0.000724106;1.13852;-0.986794;
0.000768866;1.05157;-0.992983;
0.000811038;0.904351;-0.927357;
0.000853877;0.700338;-0.79446;
0.000901075;0.429144;-0.582309;
0.000948216;0.132071;-0.319658;
0.000992321;-0.147137;-0.0482272;
0.00103646;-0.406318;0.227085;
0.00108848;-0.659701;0.527723;
0.00115239;-0.858406;0.817759;
0.00120073;-0.907823;0.95246;
0.00125016;-0.863494;0.999999;
0.00130145;-0.721308;0.948208;
0.00136595;-0.427739;0.746157;
0.00141616;-0.13885;0.502744;
0.00146053;0.135083;0.24546;
0.00150512;0.405416;-0.0321696;
0.00155657;0.683512;-0.347985;
0.00161973;0.935298;-0.683326;
0.00169106;1.05581;-0.932204;
0.00173732;1.02779;-0.996828;
0.00177918;0.931911;-0.983242;
0.00182172;0.772644;-0.90016;
0.00187485;0.503775;-0.707758;
0.00192868;0.180254;-0.433264;
0.00197302;-0.0993821;-0.168735;
0.00201751;-0.368826;0.109796;
0.00206661;-0.628345;0.406396;
0.00212918;-0.865398;0.725437;
0.00218025;-0.957443;0.905486;
0.00222381;-0.955722;0.986492;
0.00226908;-0.875958;0.99282;
0.00231788;-0.708639;0.910427;
0.0023804;-0.396745;0.682713;
0.00242864;-0.108458;0.433469;
0.00247255;0.16538;0.171626;
0.00251668;0.429968;-0.10459;
0.00256998;0.70669;-0.425672;
0.0026337;0.936264;-0.7447;
0.00269168;1.02001;-0.933612;
0.00273563;0.995803;-0.995928;
0.00278189;0.890688;-0.979989;
0.00282414;0.730473;-0.89344;
0.00288579;0.411781;-0.657601;
0.00293393;0.119249;-0.403311;
0.00297788;-0.156561;-0.138566;
0.00302191;-0.419716;0.137228;
0.0030746;-0.689583;0.451753;
0.00313833;-0.912016;0.763784;
0.00318878;-0.984845;0.926917;
0.00323171;-0.968335;0.993403;
0.00327651;-0.87563;0.986165;
0.00332403;-0.701255;0.893769;
0.00338626;-0.381147;0.655368;
0.00343392;-0.0926531;0.403339;
0.00347756;0.180099;0.140511;
0.00352142;0.441338;-0.134181;
0.00357563;0.717293;-0.457504;
0.00363965;0.936876;-0.769113;
0.00369275;1.00706;-0.935997;
0.00373588;0.982734;-0.996065;
0.00378108;0.881022;-0.980997;
0.00382587;0.711157;-0.888503;
0.00388791;0.388551;-0.647493;
0.00393577;0.0973437;-0.392726;
0.00397964;-0.177436;-0.127585;
0.00402358;-0.438698;0.147636;
0.00407752;-0.711559;0.468031;
0.00414168;-0.92834;0.777191;
0.0041919;-0.99419;0.934113;
0.00423461;-0.972366;0.995329;
0.00427924;-0.875012;0.983172;
0.00432628;-0.698298;0.887313;
0.00438841;-0.375318;0.645107;
0.00443589;-0.0867166;0.392037;
0.00447942;0.1855;0.128978;
0.00452316;0.445386;-0.145021;
0.0045777;0.720952;-0.469066;
0.00464184;0.936769;-0.777834;
0.00469313;1.00225;-0.936838;
0.00473596;0.977902;-0.99611;
0.00478077;0.877448;-0.981373;
0.00482672;0.703058;-0.886041;
0.00488877;0.379521;-0.643376;
0.00493651;0.0888498;-0.388439;
0.00498034;-0.185454;-0.123213;
0.005;-0.305064;-1.22461e-15;
