frequency;V(U_aus) (mag);V(U_aus) (phase);
1;130.749;-90;
1.25893;128.749;-90;
1.58489;126.749;-90;
1.99526;124.749;-90;
2.51189;122.749;-90;
3.16228;120.749;-90;
3.98107;118.749;-90;
5.01187;116.749;-90;
6.30957;114.749;-90.0001;
7.94328;112.749;-90.0001;
10;110.749;-90.0001;
12.5893;108.749;-90.0001;
15.8489;106.749;-90.0001;
19.9526;104.749;-90.0002;
25.1189;102.749;-90.0002;
31.6228;100.749;-90.0003;
39.8107;98.7488;-90.0004;
50.1187;96.7488;-90.0004;
63.0957;94.7488;-90.0006;
79.4328;92.7488;-90.0007;
100;90.7488;-90.0009;
125.893;88.7488;-90.0011;
158.489;86.7488;-90.0014;
199.526;84.7488;-90.0018;
251.189;82.7488;-90.0022;
316.228;80.7488;-90.0028;
398.107;78.7488;-90.0035;
501.187;76.7488;-90.0045;
630.957;74.7488;-90.0056;
794.328;72.7488;-90.0071;
1000;70.7488;-90.0089;
1258.93;68.7488;-90.0112;
1584.89;66.7488;-90.0141;
1995.26;64.7488;-90.0178;
2511.89;62.7488;-90.0224;
3162.28;60.7488;-90.0282;
3981.07;58.7488;-90.0355;
5011.87;56.7488;-90.0446;
6309.57;54.7488;-90.0562;
7943.28;52.7488;-90.0708;
10000;50.7488;-90.0891;
12589.3;48.7488;-90.1121;
15848.9;46.7488;-90.1412;
19952.6;44.7488;-90.1777;
25118.9;42.7488;-90.2237;
31622.8;40.7487;-90.2817;
39810.7;38.7487;-90.3546;
50118.7;36.7486;-90.4464;
63095.7;34.7484;-90.562;
79432.8;32.7482;-90.7075;
100000;30.7478;-90.8906;
125893;28.7472;-91.1212;
158489;26.7462;-91.4114;
199526;24.7447;-91.7766;
251189;22.7422;-92.2362;
316228;20.7383;-92.8144;
398107;18.7322;-93.5415;
501187;16.7226;-94.4551;
630957;14.7073;-95.6021;
794328;12.6831;-97.0395;
1e+06;10.6452;-98.8364;
