frequency;V(U_aus) (mag);V(U_aus) (phase);
1;7.07288;179.801;
1.25893;7.07287;179.749;
1.58489;7.07286;179.684;
1.99526;7.07285;179.602;
2.51189;7.07282;179.5;
3.16228;7.07278;179.37;
3.98107;7.07272;179.207;
5.01187;7.07263;179.001;
6.30957;7.07247;178.743;
7.94328;7.07223;178.417;
10;7.07185;178.007;
12.5893;7.07124;177.492;
15.8489;7.07027;176.842;
19.9526;7.06874;176.024;
25.1189;7.06631;174.995;
31.6228;7.06247;173.699;
39.8107;7.05637;172.068;
50.1187;7.04669;170.014;
63.0957;7.03134;167.428;
79.4328;7.00697;164.172;
100;6.96823;160.073;
125.893;6.90656;154.913;
158.489;6.80808;148.416;
199.526;6.65006;140.236;
251.189;6.3945;129.942;
316.228;5.97616;117.011;
398.107;5.28076;100.871;
501.187;4.11335;81.1034;
630.957;2.18978;58.0156;
794.328;-0.755481;33.3421;
1000;-4.75281;9.84;
1258.93;-9.56179;-10.4401;
1584.89;-14.8789;-26.9676;
1995.26;-20.4849;-40.1269;
2511.89;-26.2523;-50.5389;
3162.28;-32.1116;-58.778;
3981.07;-38.0243;-65.311;
5011.87;-43.9683;-70.5053;
6309.57;-49.9303;-74.6487;
7943.28;-55.9014;-77.9682;
10000;-61.8752;-80.6434;
12589.3;-67.8461;-82.8185;
15848.9;-73.8079;-84.6099;
19952.6;-79.7523;-86.113;
25118.9;-85.668;-87.4074;
31622.8;-91.5379;-88.5608;
39810.7;-97.3368;-89.6319;
50118.7;-103.028;-90.6732;
63095.7;-108.56;-91.732;
79432.8;-113.868;-92.8523;
100000;-118.873;-94.0766;
125893;-123.498;-95.4508;
158489;-127.688;-97.0325;
199526;-131.424;-98.9009;
251189;-134.735;-101.163;
316228;-137.686;-103.956;
398107;-140.36;-107.447;
501187;-142.84;-111.84;
630957;-145.2;-117.377;
794328;-147.504;-124.358;
1e+06;-149.816;-133.148;
