frequency;V(U_aus) (mag);V(U_aus) (phase);
1;13.093;179.621;
1.25893;13.093;179.523;
1.58489;13.0928;179.399;
1.99526;13.0926;179.243;
2.51189;13.0923;179.047;
3.16228;13.0918;178.801;
3.98107;13.091;178.49;
5.01187;13.0897;178.1;
6.30957;13.0876;177.608;
7.94328;13.0844;176.989;
10;13.0793;176.211;
12.5893;13.0712;175.233;
15.8489;13.0585;174.005;
19.9526;13.0383;172.465;
25.1189;13.0067;170.537;
31.6228;12.9572;168.134;
39.8107;12.8805;165.152;
50.1187;12.7627;161.48;
63.0957;12.585;157.012;
79.4328;12.3236;151.658;
100;11.9521;145.369;
125.893;11.4475;138.144;
158.489;10.7979;130.001;
199.526;10.0072;120.89;
251.189;9.08759;110.573;
316.228;8.03389;98.5326;
398.107;6.78278;84.0092;
501.187;5.16717;66.2917;
630.957;2.90596;45.3912;
794.328;-0.280324;22.8208;
1000;-4.44298;1.20903;
1258.93;-9.3622;-17.4459;
1584.89;-14.7514;-32.6164;
1995.26;-20.4039;-44.6643;
2511.89;-26.2012;-54.1781;
3162.28;-32.0795;-61.6982;
3981.07;-38.0043;-67.6603;
5011.87;-43.9559;-72.4051;
6309.57;-49.9227;-76.1984;
7943.28;-55.8968;-79.2492;
10000;-61.8726;-81.7235;
12589.3;-67.8447;-83.755;
15848.9;-73.8072;-85.4525;
19952.6;-79.7522;-86.9066;
25118.9;-85.6682;-88.1943;
31622.8;-91.5382;-89.3828;
39810.7;-97.3372;-90.5327;
50118.7;-103.028;-91.7008;
63095.7;-108.561;-92.9412;
79432.8;-113.868;-94.3075;
100000;-118.873;-95.8553;
125893;-123.498;-97.648;
158489;-127.688;-99.7654;
199526;-131.424;-102.315;
251189;-134.734;-105.442;
316228;-137.685;-109.329;
398107;-140.358;-114.205;
501187;-142.836;-120.35;
630957;-145.193;-128.108;
794328;-147.495;-137.913;
1e+06;-149.804;-150.308;
