frequency;V(U_a) (mag);V(U_a) (phase);
1;29.2467;179.999;
1.25893;29.2467;179.999;
1.58489;29.2467;179.999;
1.99526;29.2467;179.999;
2.51189;29.2467;179.999;
3.16228;29.2467;179.998;
3.98107;29.2467;179.998;
5.01187;29.2467;179.997;
6.30957;29.2467;179.997;
7.94328;29.2467;179.996;
10;29.2467;179.995;
12.5893;29.2467;179.993;
15.8489;29.2467;179.992;
19.9526;29.2467;179.99;
25.1189;29.2467;179.987;
31.6228;29.2467;179.983;
39.8107;29.2467;179.979;
50.1187;29.2467;179.974;
63.0957;29.2467;179.967;
79.4328;29.2467;179.958;
100;29.2467;179.948;
125.893;29.2467;179.934;
158.489;29.2467;179.917;
199.526;29.2467;179.895;
251.189;29.2467;179.868;
316.228;29.2467;179.834;
398.107;29.2467;179.791;
501.187;29.2466;179.737;
630.957;29.2466;179.669;
794.328;29.2465;179.583;
1000;29.2464;179.476;
1258.93;29.2462;179.34;
1584.89;29.2458;179.169;
1995.26;29.2453;178.954;
2511.89;29.2445;178.683;
3162.28;29.2432;178.342;
3981.07;29.2412;177.913;
5011.87;29.2379;177.373;
6309.57;29.2328;176.694;
7943.28;29.2247;175.841;
10000;29.2118;174.769;
12589.3;29.1915;173.425;
15848.9;29.1596;171.743;
19952.6;29.1094;169.644;
25118.9;29.0311;167.039;
31622.8;28.9098;163.833;
39810.7;28.7242;159.933;
50118.7;28.4454;155.272;
63095.7;28.0372;149.838;
79432.8;27.4598;143.711;
100000;26.6777;137.084;
125893;25.6696;130.245;
158489;24.4364;123.52;
199526;23;117.187;
251189;21.3964;111.418;
316228;19.6647;106.264;
398107;17.8402;101.682;
501187;15.95;97.5637;
630957;14.0134;93.7679;
794328;12.042;90.1373;
1e+06;10.0415;86.5083;
