frequency;V(U_a) (mag);V(U_a) (phase);
1;-202.159;-90.1224;
1.25893;-196.159;-90.1541;
1.58489;-190.159;-90.194;
1.99526;-184.159;-90.2442;
2.51189;-178.159;-90.3075;
3.16228;-172.159;-90.3871;
3.98107;-166.159;-90.4873;
5.01187;-160.159;-90.6134;
6.30957;-154.159;-90.7723;
7.94328;-148.159;-90.9722;
10;-142.16;-91.2239;
12.5893;-136.16;-91.5408;
15.8489;-130.161;-91.9397;
19.9526;-124.163;-92.4418;
25.1189;-118.165;-93.0737;
31.6228;-112.169;-93.8688;
39.8107;-106.175;-94.8693;
50.1187;-100.185;-96.1274;
63.0957;-94.1996;-97.7088;
79.4328;-88.2234;-99.6944;
100;-82.2609;-102.184;
125.893;-76.3199;-105.298;
158.489;-70.4124;-109.18;
199.526;-64.5562;-113.991;
251.189;-58.7777;-119.904;
316.228;-53.1138;-127.085;
398.107;-47.6134;-135.656;
501.187;-42.3358;-145.656;
630.957;-37.3444;-156.996;
794.328;-32.6977;-169.445;
1000;-28.4381;177.349;
1258.93;-24.5858;163.805;
1584.89;-21.1362;150.34;
1995.26;-18.0615;137.31;
2511.89;-15.3182;124.943;
3162.28;-12.8574;113.313;
3981.07;-10.6374;102.356;
5011.87;-8.63253;91.9179;
6309.57;-6.83622;81.8355;
7943.28;-5.25819;72.0066;
10000;-3.91545;62.4437;
12589.3;-2.81995;53.2829;
15848.9;-1.96787;44.7377;
19952.6;-1.33611;37.0195;
25118.9;-0.887433;30.2674;
31622.8;-0.579772;24.5211;
39810.7;-0.37435;19.7351;
50118.7;-0.239778;15.8112;
63095.7;-0.152763;12.629;
79432.8;-0.0969863;10.0672;
100000;-0.0614361;8.01477;
125893;-0.0388607;6.37549;
158489;-0.0245583;5.06883;
199526;-0.0155108;4.02863;
251189;-0.00979285;3.20122;
316228;-0.00618134;2.5434;
398107;-0.00390115;2.02059;
501187;-0.00246185;1.60516;
630957;-0.00155348;1.27509;
794328;-0.000980241;1.01288;
1e+06;-0.000618515;0.804578;
