time;V(Net-_D1-A_);V(U_a);
0;2.50013;0.0202473;
1e-08;2.50006;0.0203114;
2e-08;2.49999;0.0203117;
4e-08;2.49984;0.0203118;
8e-08;2.49955;0.0203118;
1.6e-07;2.49897;0.0203118;
3.2e-07;2.49782;0.0203118;
6.4e-07;2.4955;0.0203118;
1.28e-06;2.49088;0.0203118;
2.28e-06;2.48368;0.0203118;
3.28e-06;2.47651;0.0203118;
4.28e-06;2.46937;0.0203118;
5.28e-06;2.46225;0.0203118;
6.28e-06;2.45517;0.0203118;
7.28e-06;2.44811;0.0203117;
8.28e-06;2.44108;0.0203117;
9.28e-06;2.43407;0.0203117;
1.028e-05;2.4271;0.0203117;
1.128e-05;2.42015;0.0203117;
1.228e-05;2.41323;0.0203117;
1.328e-05;2.40633;0.0203117;
1.428e-05;2.39947;0.0203117;
1.528e-05;2.39263;0.0203117;
1.628e-05;2.38581;0.0203117;
1.728e-05;2.37903;0.0203117;
1.828e-05;2.37227;0.0203117;
1.928e-05;2.36553;0.0203117;
2.028e-05;2.35883;0.0203117;
2.128e-05;2.35215;0.0203117;
2.228e-05;2.34549;0.0203117;
2.328e-05;2.33886;0.0203117;
2.428e-05;2.33226;0.0203117;
2.528e-05;2.32568;0.0203117;
2.628e-05;2.31913;0.0203117;
2.728e-05;2.31261;0.0203117;
2.828e-05;2.30611;0.0203117;
2.928e-05;2.29964;0.0203117;
3.028e-05;2.29319;0.0203117;
3.128e-05;2.28676;0.0203117;
3.228e-05;2.28037;0.0203117;
3.328e-05;2.27399;0.0203116;
3.428e-05;2.26764;0.0203116;
3.528e-05;2.26132;0.0203116;
3.628e-05;2.25502;0.0203116;
3.728e-05;2.24875;0.0203116;
3.828e-05;2.2425;0.0203116;
3.928e-05;2.23627;0.0203116;
4.028e-05;2.23007;0.0203116;
4.128e-05;2.2239;0.0203116;
4.228e-05;2.21775;0.0203116;
4.328e-05;2.21162;0.0203116;
4.428e-05;2.20551;0.0203116;
4.528e-05;2.19943;0.0203116;
4.628e-05;2.19338;0.0203116;
4.728e-05;2.18734;0.0203116;
4.828e-05;2.18134;0.0203116;
4.928e-05;2.17535;0.0203116;
5.028e-05;2.16939;0.0203116;
5.128e-05;2.16345;0.0203116;
5.228e-05;2.15753;0.0203116;
5.328e-05;2.15164;0.0203116;
5.428e-05;2.14577;0.0203116;
5.528e-05;2.13993;0.0203116;
5.628e-05;2.1341;0.0203116;
5.728e-05;2.1283;0.0203116;
5.828e-05;2.12252;0.0203116;
5.928e-05;2.11677;0.0203116;
6.028e-05;2.11104;0.0203116;
6.128e-05;2.10533;0.0203116;
6.228e-05;2.09964;0.0203115;
6.328e-05;2.09397;0.0203115;
6.428e-05;2.08833;0.0203115;
6.528e-05;2.08271;0.0203115;
6.628e-05;2.07711;0.0203115;
6.728e-05;2.07153;0.0203115;
6.828e-05;2.06597;0.0203115;
6.928e-05;2.06044;0.0203115;
7.028e-05;2.05493;0.0203115;
7.128e-05;2.04944;0.0203115;
7.228e-05;2.04397;0.0203115;
7.328e-05;2.03852;0.0203115;
7.428e-05;2.03309;0.0203115;
7.528e-05;2.02768;0.0203115;
7.628e-05;2.0223;0.0203115;
7.728e-05;2.01694;0.0203115;
7.828e-05;2.01159;0.0203115;
7.928e-05;2.00627;0.0203115;
8.028e-05;2.00097;0.0203115;
8.128e-05;1.99569;0.0203115;
8.228e-05;1.99043;0.0203115;
8.328e-05;1.98519;0.0203115;
8.428e-05;1.97997;0.0203115;
8.528e-05;1.97478;0.0203115;
8.628e-05;1.9696;0.0203115;
8.728e-05;1.96444;0.0203115;
8.828e-05;1.9593;0.0203115;
8.928e-05;1.95419;0.0203115;
9.028e-05;1.94909;0.0203115;
9.128e-05;1.95279;11.1303;
9.15158e-05;1.95574;12.3376;
9.16545e-05;1.95747;12.1586;
9.17101e-05;1.95817;12.2745;
9.17518e-05;1.95869;12.2202;
9.17774e-05;1.95901;12.2408;
9.17969e-05;1.95925;12.2345;
9.18144e-05;1.95947;12.2369;
9.18324e-05;1.9597;12.2359;
9.18521e-05;1.95994;12.2363;
9.1873e-05;1.96021;12.2362;
9.18953e-05;1.96049;12.2362;
9.19192e-05;1.96078;12.2362;
9.19442e-05;1.9611;12.2361;
9.19701e-05;1.96142;12.2362;
9.19962e-05;1.96175;12.2361;
9.20244e-05;1.9621;12.2362;
9.20538e-05;1.96247;12.2361;
9.20857e-05;1.96287;12.2362;
9.21204e-05;1.9633;12.2362;
9.21584e-05;1.96377;12.2362;
9.22006e-05;1.9643;12.2362;
9.22478e-05;1.96489;12.2362;
9.23011e-05;1.96556;12.2362;
9.23616e-05;1.96631;12.2362;
9.24306e-05;1.96718;12.2362;
9.25117e-05;1.96819;12.2362;
9.26177e-05;1.96951;12.2362;
9.27632e-05;1.97133;12.2362;
9.29816e-05;1.97406;12.2361;
9.33455e-05;1.9786;12.2361;
9.40242e-05;1.98707;12.2361;
9.48708e-05;1.99762;12.2361;
9.58708e-05;2.01007;12.236;
9.68708e-05;2.0225;12.236;
9.77913e-05;2.03393;12.2359;
9.87628e-05;2.04597;12.2359;
9.97628e-05;2.05835;12.2359;
0.000100763;2.07072;12.2358;
0.000101763;2.08307;12.2358;
0.000102763;2.09541;12.2357;
0.000103763;2.10772;12.2357;
0.000104763;2.12002;12.2357;
0.000105763;2.13231;12.2356;
0.000106763;2.14458;12.2356;
