time;V(U_a);V(U_e);
0;8.49064;0;
2e-11;8.49064;0;
4e-11;8.49064;0;
8e-11;8.49064;0;
1.6e-10;8.49064;0;
3.2e-10;8.49064;0;
6.4e-10;8.49064;0;
1.28e-09;8.49064;0;
2e-09;8.49064;0;
2.01187e-09;8.49064;0.0712412;
2.03562e-09;8.49064;0.213724;
2.08311e-09;8.49065;0.498689;
2.14935e-09;8.49066;0.896111;
2.28183e-09;8.4908;1.69095;
2.45816e-09;8.49121;2.74895;
2.62278e-09;8.4915;3.73665;
2.85167e-09;8.49121;5.11;
3.19948e-09;8.48819;7.1969;
3.54867e-09;8.47941;9.29204;
3.92253e-09;8.46063;11.5352;
4e-09;8.45539;12;
4.04175e-09;8.45229;12;
4.12526e-09;8.4458;12;
4.29228e-09;8.43112;12;
4.50087e-09;8.40951;12;
4.71674e-09;8.38322;12;
4.99046e-09;8.34415;12;
5.33493e-09;8.28628;12;
5.73841e-09;8.20736;12;
6.15191e-09;8.11587;12;
6.81031e-09;7.95666;12;
7.82398e-09;7.73577;12;
8.98209e-09;7.66369;12;
1.06379e-08;8.04371;12;
1.16522e-08;8.41067;12;
1.25823e-08;8.68916;12;
1.35176e-08;8.95459;12;
1.4392e-08;9.20983;12;
1.52522e-08;9.4468;12;
1.61793e-08;9.67455;12;
1.71317e-08;9.88055;12;
1.82306e-08;10.087;12;
1.96308e-08;10.3085;12;
2.15205e-08;10.5465;12;
2.41936e-08;10.7928;12;
2.81742e-08;11.0284;12;
3.28645e-08;11.185;12;
3.78234e-08;11.2743;12;
4.27072e-08;11.3232;12;
4.73473e-08;11.3509;12;
5.17791e-08;11.368;12;
5.81026e-08;11.3835;12;
6.50941e-08;11.3939;12;
7.5477e-08;11.4036;12;
8.69675e-08;11.4106;12;
1.0674e-07;11.4192;12;
1.32175e-07;11.4272;12;
1.83043e-07;11.4384;12;
2.12634e-07;9.36971;12;
2.37148e-07;0.0892183;12;
2.54439e-07;0.0157025;12;
2.68181e-07;0.0563135;12;
2.79334e-07;0.0148289;12;
2.85813e-07;0.0275479;12;
2.90318e-07;0.0144218;12;
2.93779e-07;0.0272347;12;
2.96915e-07;0.0150007;12;
3.00089e-07;0.0266291;12;
3.03741e-07;0.0153888;12;
3.0905e-07;0.0262841;12;
3.16565e-07;0.0155386;12;
3.25376e-07;0.0261015;12;
3.42999e-07;0.0156159;12;
3.78245e-07;0.0260584;12;
4.38008e-07;0.0156346;12;
5.57532e-07;0.0260247;12;
7.34571e-07;0.0156696;12;
1.01396e-06;0.0260003;12;
1.4623e-06;0.0156837;12;
2.02914e-06;0.0259731;12;
2.65188e-06;0.0156916;12;
3.14308e-06;0.0259881;12;
