time;V(U_a);V(U_e);
0;8.29328;0;
2e-11;8.29328;0;
4e-11;8.29328;0;
8e-11;8.29328;0;
1.6e-10;8.29328;0;
3.2e-10;8.29328;0;
6.4e-10;8.29328;0;
1.28e-09;8.29328;0;
2e-09;8.29328;0;
2.01187e-09;8.29328;0.0712412;
2.03562e-09;8.29328;0.213724;
2.08311e-09;8.29328;0.498689;
2.14936e-09;8.29329;0.896183;
2.28186e-09;8.29343;1.69117;
2.45817e-09;8.29384;2.74904;
2.6228e-09;8.2941;3.7368;
2.85167e-09;8.29382;5.11002;
3.19957e-09;8.29089;7.1974;
3.54879e-09;8.28224;9.29273;
3.92263e-09;8.26359;11.5358;
4e-09;8.25839;12;
4.04176e-09;8.2553;12;
4.12528e-09;8.24885;12;
4.29232e-09;8.23421;12;
4.50091e-09;8.21263;12;
4.7168e-09;8.18632;12;
4.99049e-09;8.1471;12;
5.33496e-09;8.0888;12;
5.73843e-09;8.00902;12;
6.15195e-09;7.9163;12;
6.81039e-09;7.75458;12;
7.8248e-09;7.5285;12;
8.98267e-09;7.45095;12;
1.0638e-08;7.84474;12;
1.16526e-08;8.23684;12;
1.25831e-08;8.53557;12;
1.35128e-08;8.8131;12;
1.43795e-08;9.07916;12;
1.52366e-08;9.32809;12;
1.61545e-08;9.56647;12;
1.71059e-08;9.78435;12;
1.82111e-08;10.0045;12;
1.96322e-08;10.2427;12;
2.15595e-08;10.4994;12;
2.4275e-08;10.763;12;
2.83077e-08;11.0131;12;
3.30372e-08;11.1775;12;
3.80581e-08;11.2711;12;
4.29562e-08;11.3213;12;
4.76179e-08;11.3499;12;
5.21234e-08;11.3675;12;
5.8343e-08;11.383;12;
6.52633e-08;11.3936;12;
7.55643e-08;11.4034;12;
8.68492e-08;11.4103;12;
1.06939e-07;11.4191;12;
1.3163e-07;11.4269;12;
1.65297e-07;11.4351;12;
1.88683e-07;11.0687;12;
2.06153e-07;0.512145;12;
2.19599e-07;0.0126179;12;
2.32412e-07;0.0709638;12;
2.42195e-07;0.0116939;12;
2.48232e-07;0.0325695;12;
2.5219e-07;0.0111767;12;
2.55408e-07;0.0323177;12;
2.58782e-07;0.0118022;12;
2.61893e-07;0.03153;12;
2.66336e-07;0.0122366;12;
2.73352e-07;0.0310419;12;
2.83915e-07;0.0123986;12;
2.93814e-07;0.0308202;12;
3.05245e-07;0.0125202;12;
3.18653e-07;0.0306288;12;
3.4547e-07;0.0126005;12;
3.99102e-07;0.030546;12;
5.06366e-07;0.0126433;12;
6.72186e-07;0.0304745;12;
9.22379e-07;0.0126803;12;
1.37613e-06;0.0304183;12;
1.83621e-06;0.0126959;12;
2.6511e-06;0.0304369;12;
3.27323e-06;0.0127;12;
3.83913e-06;0.0304327;12;
4.46811e-06;0.0126997;12;
5.10184e-06;0.0304287;12;
6.10184e-06;0.0127003;12;
7.10184e-06;0.0304266;12;
8.10184e-06;0.0127037;12;
9.10184e-06;0.0304245;12;
1.01018e-05;0.0124719;12;
1.11018e-05;0.0308339;12;
1.14422e-05;0.0124221;12;
1.19663e-05;0.0307679;12;
1.27283e-05;0.012425;12;
1.36491e-05;0.0307759;12;
1.46491e-05;0.0124239;12;
1.56491e-05;0.0307754;12;
1.66491e-05;0.0124277;12;
1.76491e-05;0.0307732;12;
1.86491e-05;0.0124288;12;
1.96491e-05;0.0307709;12;
2.06491e-05;0.01243;12;
2.16491e-05;0.0307686;12;
2.26491e-05;0.0124311;12;
2.36491e-05;0.0307663;12;
2.46491e-05;0.0124323;12;
2.56491e-05;0.0307641;12;
2.66491e-05;0.0124335;12;
2.76491e-05;0.0307618;12;
2.86491e-05;0.0124346;12;
2.96491e-05;0.0307595;12;
3.06491e-05;0.0124358;12;
3.16491e-05;0.0307573;12;
3.26491e-05;0.012437;12;
3.36491e-05;0.030755;12;
3.46491e-05;0.0124381;12;
3.56491e-05;0.0307528;12;
3.66491e-05;0.0124393;12;
3.76491e-05;0.0307505;12;
3.86491e-05;0.0124405;12;
3.96491e-05;0.0307483;12;
4.06491e-05;0.0124416;12;
4.16491e-05;0.030746;12;
4.26491e-05;0.0124428;12;
4.36491e-05;0.0307438;12;
4.46491e-05;0.012444;12;
4.56491e-05;0.0307416;12;
4.66491e-05;0.0124451;12;
4.76491e-05;0.0307393;12;
4.86491e-05;0.0124463;12;
4.96491e-05;0.0307371;12;
5.06491e-05;0.0124475;12;
5.16491e-05;0.0307349;12;
5.26491e-05;0.0124486;12;
5.36491e-05;0.0307326;12;
5.46491e-05;0.0124498;12;
5.56491e-05;0.0307304;12;
5.66491e-05;0.012451;12;
5.76491e-05;0.0307282;12;
5.86491e-05;0.0124521;12;
5.96491e-05;0.0307259;12;
6.06491e-05;0.0124533;12;
6.16491e-05;0.0307237;12;
6.26491e-05;0.0124545;12;
6.36491e-05;0.0307215;12;
6.46491e-05;0.0124556;12;
6.56491e-05;0.0307193;12;
6.66491e-05;0.0124568;12;
6.76491e-05;0.0307171;12;
6.86491e-05;0.012458;12;
6.96491e-05;0.0307149;12;
7.06491e-05;0.0124591;12;
7.16491e-05;0.0307126;12;
7.26491e-05;0.0124603;12;
7.36491e-05;0.0307104;12;
7.46491e-05;0.0124614;12;
7.56491e-05;0.0307082;12;
7.66491e-05;0.0124626;12;
7.76491e-05;0.030706;12;
7.86491e-05;0.0124637;12;
7.96491e-05;0.0307038;12;
8.06491e-05;0.0124649;12;
8.16491e-05;0.0307016;12;
8.26491e-05;0.0124661;12;
8.36491e-05;0.0306994;12;
8.46491e-05;0.0124672;12;
8.56491e-05;0.0306972;12;
8.66491e-05;0.0124684;12;
8.76491e-05;0.030695;12;
8.86491e-05;0.0124695;12;
8.96491e-05;0.0306928;12;
9.06491e-05;0.0124707;12;
9.16491e-05;0.0306906;12;
9.26491e-05;0.0124718;12;
9.36491e-05;0.0306884;12;
9.46491e-05;0.012473;12;
9.56491e-05;0.0306862;12;
9.66491e-05;0.0124741;12;
9.76491e-05;0.030684;12;
9.86491e-05;0.0124753;12;
9.96491e-05;0.0306818;12;
0.000100649;0.0124764;12;
0.000101649;0.0306796;12;
0.000102649;0.0124776;12;
0.000103649;0.0306774;12;
0.000104649;0.0124787;12;
0.000105649;0.0306752;12;
0.000106649;0.0124799;12;
0.000107649;0.030673;12;
0.000108649;0.012481;12;
0.000109649;0.0306708;12;
0.000110649;0.0124822;12;
0.000111649;0.0306686;12;
0.000112649;0.0124833;12;
0.000113649;0.0306664;12;
0.000114649;0.0124845;12;
0.000115649;0.0306642;12;
0.000116649;0.0124856;12;
0.000117649;0.0306621;12;
0.000118649;0.0124868;12;
0.000119649;0.0306599;12;
0.000120649;0.0124879;12;
0.000121649;0.0306577;12;
0.000122649;0.012489;12;
0.000123649;0.0306555;12;
0.000124649;0.0124902;12;
0.000125649;0.0306533;12;
0.000126649;0.0124913;12;
0.000127649;0.0306511;12;
0.000128649;0.0124925;12;
0.000129649;0.030649;12;
0.000130649;0.0124936;12;
0.000131649;0.0306468;12;
