time	V(n001)	V(n002)
0.000000000000000e+000	1.199991e+001	1.199993e+001
4.999999987845057e-008	1.199991e+001	1.199993e+001
5.999999987845057e-008	1.199991e+001	1.199993e+001
6.999999987845057e-008	1.199991e+001	1.199978e+001
7.999999987845056e-008	1.199991e+001	1.199547e+001
8.999999987845056e-008	1.199991e+001	1.108743e+001
1.099999998784506e-007	1.199916e+001	5.821903e+000
1.149999998784506e-007	1.199856e+001	3.965127e+000
1.249999998784506e-007	1.199717e+001	1.440513e+000
1.449999998784506e-007	1.199394e+001	2.733922e-001
1.849999998784506e-007	1.198735e+001	9.895634e-002
6.773839285592743e-006	1.096618e+001	9.053423e-002
1.336267857130703e-005	1.001734e+001	8.270837e-002
1.995151785702133e-005	9.140840e+000	7.547876e-002
2.654035714273562e-005	8.336668e+000	6.884539e-002
3.312919642844992e-005	7.604826e+000	6.280826e-002
3.971803571416421e-005	6.945317e+000	5.736738e-002
4.630687499987848e-005	6.358138e+000	5.252274e-002
5.113194838375474e-005	5.953844e+000	4.918776e-002
5.595702176763100e-005	5.571846e+000	4.603657e-002
6.078209515150725e-005	5.212144e+000	4.306915e-002
6.560716853538351e-005	4.874738e+000	4.028552e-002
7.043224191925976e-005	4.559629e+000	3.768567e-002
7.525731530313602e-005	4.266816e+000	3.526960e-002
8.008238868701227e-005	3.996300e+000	3.303732e-002
8.009238868701227e-005	3.995750e+000	3.421821e-002
8.010238868701226e-005	3.995201e+000	5.187901e-002
8.011238868701226e-005	3.994657e+000	1.818947e-001
8.012238868701225e-005	3.994144e+000	1.515734e+000
8.014238868701226e-005	3.994134e+000	7.654571e+000
8.014738868701225e-005	3.994532e+000	9.272989e+000
8.015738868701225e-005	3.995456e+000	1.102678e+001
8.017738868701225e-005	3.997608e+000	1.181725e+001
8.021738868701226e-005	4.002007e+000	1.193395e+001
8.680622797272655e-005	4.683330e+000	1.193957e+001
9.339506725844084e-005	5.316392e+000	1.194479e+001
9.998390654415513e-005	5.901195e+000	1.194962e+001
1.065727458298694e-004	6.437739e+000	1.195404e+001
1.131615851155837e-004	6.926023e+000	1.195807e+001
1.197504244012980e-004	7.366047e+000	1.196170e+001
1.263392636870123e-004	7.757812e+000	1.196493e+001
