time;V(U_a);V(U_tr);
0;4.33131;4.33134;
1e-09;4.33131;4.33134;
2e-09;4.33131;4.33134;
4e-09;4.33131;4.33134;
8e-09;4.3313;4.33134;
1.6e-08;4.33133;4.33134;
3.2e-08;4.33128;4.33134;
6.4e-08;4.33134;4.33134;
1.28e-07;4.33127;4.33134;
2.28e-07;4.33135;4.33134;
3.28e-07;4.33126;4.33134;
4.28e-07;4.33132;4.33134;
5.28e-07;4.3308;4.33134;
6.28e-07;4.32593;4.33134;
7.28e-07;4.26481;4.33129;
8.28e-07;3.42907;4.33062;
9.28e-07;0.0587145;4.32703;
1.00824e-06;8.80373;4.32715;
1.07e-06;12.1113;4.3324;
1.10356e-06;10.5298;4.33565;
1.11844e-06;11.2883;4.33701;
1.12843e-06;11.4279;4.33798;
1.13593e-06;11.3248;4.33871;
1.13982e-06;11.397;4.33909;
1.14235e-06;11.3612;4.33934;
1.14442e-06;11.3715;4.33954;
1.14598e-06;11.3737;4.33969;
1.14726e-06;11.3684;4.33981;
1.14849e-06;11.3727;4.33993;
1.14973e-06;11.3699;4.34006;
1.15125e-06;11.3719;4.3402;
1.1532e-06;11.3704;4.34039;
1.15563e-06;11.3718;4.34063;
1.15911e-06;11.3705;4.34097;
1.164e-06;11.3718;4.34145;
1.17095e-06;11.3706;4.34212;
1.181e-06;11.3718;4.3431;
1.19694e-06;11.3706;4.34466;
1.22468e-06;11.3719;4.34736;
1.27265e-06;11.3707;4.35203;
1.36858e-06;11.372;4.36137;
1.46858e-06;11.3709;4.37108;
1.56858e-06;11.3722;4.38078;
1.66858e-06;11.3712;4.39047;
1.76858e-06;11.3725;4.40015;
1.85418e-06;11.3714;4.40842;
1.9409e-06;11.3726;4.41679;
2.0409e-06;11.3716;4.42643;
2.13505e-06;11.3728;4.4355;
2.23505e-06;11.3718;4.44511;
2.33505e-06;11.3731;4.45471;
2.43505e-06;11.372;4.4643;
2.53505e-06;11.3733;4.47387;
2.63505e-06;11.3722;4.48344;
2.73505e-06;11.3735;4.49298;
2.83505e-06;11.3724;4.50252;
2.93505e-06;11.3737;4.51204;
3.03505e-06;11.3726;4.52155;
3.13505e-06;11.3739;4.53105;
3.23505e-06;11.3728;4.54053;
3.33505e-06;11.3741;4.55;
3.43505e-06;11.373;4.55946;
3.53505e-06;11.3743;4.5689;
3.63505e-06;11.3732;4.57834;
3.73505e-06;11.3745;4.58775;
3.83505e-06;11.3735;4.59716;
3.93505e-06;11.3747;4.60655;
4.03505e-06;11.3737;4.61593;
4.13505e-06;11.3749;4.6253;
4.23505e-06;11.3739;4.63465;
4.33505e-06;11.3752;4.64399;
4.43505e-06;11.3741;4.65332;
4.53505e-06;11.3754;4.66264;
4.63505e-06;11.3743;4.67194;
4.73505e-06;11.3756;4.68123;
4.83505e-06;11.3745;4.69051;
4.93505e-06;11.3758;4.69977;
5.03505e-06;11.3747;4.70903;
5.13505e-06;11.376;4.71827;
5.23505e-06;11.3749;4.72749;
5.33505e-06;11.3762;4.73671;
5.43505e-06;11.3751;4.74591;
5.53505e-06;11.3764;4.7551;
5.63505e-06;11.3753;4.76427;
5.73505e-06;11.3766;4.77344;
5.83505e-06;11.3755;4.78259;
5.93505e-06;11.3768;4.79173;
6.03505e-06;11.3757;4.80085;
6.13505e-06;11.377;4.80997;
6.23505e-06;11.376;4.81907;
6.33505e-06;11.3772;4.82816;
6.43505e-06;11.3762;4.83723;
6.53505e-06;11.3774;4.8463;
6.63505e-06;11.3764;4.85535;
6.73505e-06;11.3776;4.86439;
6.83505e-06;11.3766;4.87341;
6.93505e-06;11.3778;4.88243;
7.03505e-06;11.3768;4.89143;
7.13505e-06;11.378;4.90042;
7.23505e-06;11.377;4.90939;
7.33505e-06;11.3782;4.91836;
7.43505e-06;11.3772;4.92731;
7.53505e-06;11.3784;4.93625;
7.63505e-06;11.3774;4.94518;
7.73505e-06;11.3787;4.9541;
7.83505e-06;11.3776;4.963;
7.93505e-06;11.3789;4.97189;
8.03505e-06;11.3778;4.98077;
8.13505e-06;11.3791;4.98964;
8.23505e-06;11.378;4.99849;
8.33505e-06;11.3793;5.00733;
8.43505e-06;11.3782;5.01617;
8.53505e-06;11.3795;5.02498;
8.63505e-06;11.3784;5.03379;
8.73505e-06;11.3797;5.04258;
8.83505e-06;11.3786;5.05137;
8.93505e-06;11.3799;5.06014;
9.03505e-06;11.3788;5.0689;
9.13505e-06;11.3801;5.07764;
9.23505e-06;11.379;5.08638;
9.33505e-06;11.3803;5.0951;
9.43505e-06;11.3792;5.10381;
9.53505e-06;11.3805;5.11251;
9.63505e-06;11.3794;5.12119;
9.73505e-06;11.3807;5.12987;
9.83505e-06;11.3796;5.13853;
9.93505e-06;11.3809;5.14718;
1.00351e-05;11.3798;5.15582;
1.01351e-05;11.3811;5.16445;
1.02351e-05;11.38;5.17306;
1.03351e-05;11.3813;5.18167;
1.04351e-05;11.3802;5.19026;
1.05351e-05;11.3815;5.19884;
1.06351e-05;11.3804;5.20741;
1.07351e-05;11.3817;5.21596;
1.08351e-05;11.3806;5.22451;
1.09351e-05;11.3819;5.23304;
1.10351e-05;11.3808;5.24156;
1.11351e-05;11.3821;5.25007;
1.12351e-05;11.381;5.25857;
1.13351e-05;11.3823;5.26706;
1.14351e-05;11.3812;5.27553;
1.15351e-05;11.3825;5.28399;
1.16351e-05;11.3814;5.29245;
1.17351e-05;11.3827;5.30089;
1.18351e-05;11.3816;5.30931;
1.19351e-05;11.3829;5.31773;
1.20351e-05;11.3818;5.32614;
1.21351e-05;11.383;5.33453;
1.22351e-05;11.382;5.34291;
1.23351e-05;11.3832;5.35128;
1.24351e-05;11.3822;5.35964;
1.25351e-05;11.3834;5.36799;
1.26351e-05;11.3824;5.37633;
1.27351e-05;11.3836;5.38465;
1.28351e-05;11.3826;5.39297;
1.29351e-05;11.3838;5.40127;
1.30351e-05;11.3827;5.40956;
1.31351e-05;11.384;5.41784;
1.32351e-05;11.3829;5.42611;
1.33351e-05;11.3842;5.43437;
1.34351e-05;11.3831;5.44261;
1.35351e-05;11.3844;5.45085;
1.36351e-05;11.3833;5.45907;
1.37351e-05;11.3846;5.46728;
1.38351e-05;11.3835;5.47548;
1.39351e-05;11.3848;5.48367;
1.40351e-05;11.3837;5.49185;
1.41351e-05;11.385;5.50001;
1.42351e-05;11.3839;5.50817;
1.43351e-05;11.3852;5.51632;
1.44351e-05;11.3841;5.52445;
1.45351e-05;11.3854;5.53257;
1.46351e-05;11.3843;5.54068;
1.47351e-05;11.3856;5.54878;
1.48351e-05;11.3845;5.55687;
1.49351e-05;11.3858;5.56495;
1.50351e-05;11.3847;5.57302;
1.51351e-05;11.386;5.58107;
1.52351e-05;11.3849;5.58912;
1.53351e-05;11.3862;5.59715;
1.54351e-05;11.3851;5.60517;
1.55351e-05;11.3863;5.61318;
1.56351e-05;11.3852;5.62118;
1.57351e-05;11.3865;5.62917;
1.58351e-05;11.3854;5.63715;
1.59351e-05;11.3867;5.64512;
1.60351e-05;11.3856;5.65308;
1.61351e-05;11.3869;5.66102;
1.62351e-05;11.3858;5.66896;
1.63351e-05;11.3871;5.67688;
1.64351e-05;11.386;5.6848;
1.65351e-05;11.3873;5.6927;
1.66351e-05;11.3862;5.70059;
1.67351e-05;11.3875;5.70847;
1.68351e-05;11.3864;5.71634;
1.69351e-05;11.3877;5.7242;
1.70351e-05;11.3866;5.73205;
1.71351e-05;11.3879;5.73989;
1.72351e-05;11.3868;5.74772;
1.73351e-05;11.3881;5.75553;
1.74351e-05;11.3869;5.76334;
1.75351e-05;11.3882;5.77113;
1.76351e-05;11.3871;5.77892;
1.77351e-05;11.3884;5.78669;
1.78351e-05;11.3873;5.79446;
1.79351e-05;11.3886;5.80221;
1.80351e-05;11.3875;5.80995;
1.81351e-05;11.3888;5.81768;
1.82351e-05;11.3877;5.8254;
1.83351e-05;11.389;5.83311;
1.84351e-05;11.3879;5.84081;
1.85351e-05;11.3892;5.8485;
1.86351e-05;11.3881;5.85618;
1.87351e-05;11.3894;5.86385;
1.88351e-05;11.3882;5.8715;
1.89351e-05;11.3896;5.87915;
1.90351e-05;11.3884;5.88679;
1.91351e-05;11.3897;5.89441;
1.92351e-05;11.3886;5.90203;
1.93351e-05;11.3899;5.90963;
1.94351e-05;11.3888;5.91723;
1.95351e-05;11.3901;5.92481;
1.96351e-05;11.389;5.93239;
1.97351e-05;11.3903;5.93995;
1.98351e-05;11.3892;5.9475;
1.99351e-05;11.3905;5.95505;
2.00351e-05;11.3894;5.96258;
2.01351e-05;11.3907;5.9701;
2.02351e-05;11.3895;5.97761;
2.03351e-05;11.3909;5.98512;
2.04351e-05;11.3897;5.99261;
2.05351e-05;11.391;6.00009;
2.06351e-05;11.3899;6.00756;
2.07351e-05;11.3912;6.01502;
2.08351e-05;11.3901;6.02247;
2.09351e-05;11.3914;6.02991;
2.10351e-05;11.3903;6.03734;
2.11351e-05;11.3916;6.04476;
2.12351e-05;11.3904;6.05217;
2.13351e-05;11.3918;6.05957;
2.14351e-05;11.3906;6.06696;
2.15351e-05;11.392;6.07434;
2.16351e-05;11.3908;6.08171;
2.17351e-05;11.3921;6.08907;
2.18351e-05;11.391;6.09642;
2.19351e-05;11.3923;6.10376;
2.20351e-05;11.3912;6.11109;
2.21351e-05;11.3925;6.11841;
2.22351e-05;11.3914;6.12571;
