time;V(Net-_R1-Pad1_);V(U_a);V(U_o);
0;0;0.110364;-9.94434e-05;
1e-07;0.0150796;0.110516;0.028062;
1.00943e-07;0.0152218;0.110517;0.0283301;
1.02829e-07;0.0155063;0.11052;0.0288713;
1.06601e-07;0.0160751;0.110526;0.0299848;
1.14146e-07;0.0172128;0.110539;0.0323404;
1.29234e-07;0.0194881;0.110567;0.0375957;
1.59412e-07;0.0240387;0.110632;0.0504633;
2.19766e-07;0.03314;0.110789;0.0867263;
3.14798e-07;0.0474702;0.111083;0.176887;
4.29894e-07;0.0648262;0.111516;0.352056;
5.72341e-07;0.0863062;0.112203;0.698741;
7.32071e-07;0.110392;0.113212;1.31539;
9.18867e-07;0.138559;0.114725;2.45072;
1.13309e-06;0.17086;0.116558;4.42781;
1.25515e-06;0.189265;0.117161;5.86377;
1.38683e-06;0.209118;0.116753;7.53008;
1.51103e-06;0.227844;0.115668;9.11471;
1.60184e-06;0.241536;0.114785;10.2652;
1.64015e-06;0.247312;0.109715;10.3754;
1.6826e-06;0.253711;0.105438;10.3971;
1.69422e-06;0.255463;0.104872;10.4007;
1.70975e-06;0.257804;0.104415;10.405;
1.72597e-06;0.26025;0.104185;10.4088;
1.7429e-06;0.262802;0.104097;10.4122;
1.76188e-06;0.265664;0.104068;10.4155;
1.78257e-06;0.268783;0.104035;10.4187;
1.80457e-06;0.2721;0.103949;10.4216;
1.83026e-06;0.275973;0.103772;10.4247;
1.86251e-06;0.280834;0.103462;10.428;
1.91436e-06;0.288651;0.102888;10.4324;
1.96662e-06;0.296529;0.102305;10.4361;
2.03071e-06;0.30619;0.101623;10.4399;
2.10696e-06;0.317685;0.100826;10.4436;
2.25947e-06;0.340674;0.0992245;10.4494;
2.41001e-06;0.363365;0.0976446;10.4537;
2.71108e-06;0.408742;0.094492;10.4597;
3.31322e-06;0.499477;0.0881858;10.4671;
4.10079e-06;0.618111;0.0799382;10.4718;
5.21346e-06;0.785609;0.0682835;10.4746;
6.37319e-06;0.960028;0.0561355;10.4757;
7.94899e-06;1.19669;0.0396277;10.4764;
9.81805e-06;1.47677;0.0200475;10.4766;
1.26631e-05;1.9015;-0.00975735;10.4767;
1.66365e-05;2.4905;-0.0513835;10.4767;
2.42252e-05;3.59691;-0.130883;10.4767;
3.42252e-05;5.0034;-0.235642;10.4767;
4.42252e-05;6.33097;-0.340401;10.4767;
5.42252e-05;7.5587;-0.445158;10.4767;
6.42252e-05;8.66723;-0.549914;10.4767;
7.42252e-05;9.63907;-0.654669;10.4767;
8.42252e-05;10.4589;-0.759423;10.4767;
9.42252e-05;11.1138;-0.864176;10.4767;
0.000104225;11.5934;-0.968928;10.4767;
0.000114225;11.8902;-1.07368;10.4767;
0.000124225;11.9994;-1.17843;10.4767;
0.000134225;11.9195;-1.28318;10.4767;
0.000144225;11.6515;-1.38793;10.4767;
0.000154225;11.1998;-1.49267;10.4767;
0.000164225;10.5715;-1.59742;10.4767;
0.000174225;9.77642;-1.70216;10.4767;
0.000184225;8.82719;-1.80691;10.4767;
0.000194225;7.73875;-1.91165;10.4767;
0.000204225;6.52826;-2.01639;10.4767;
0.000214225;5.21482;-2.12113;10.4767;
0.000224225;3.81914;-2.22587;10.4767;
0.000234225;2.36323;-2.33061;10.4767;
0.000244225;0.870053;-2.43535;10.4767;
0.000251012;-0.152617;-2.50643;10.4767;
0.000254297;-0.647668;-2.54083;10.4743;
0.000256076;-0.915374;-2.55946;10.469;
0.000257486;-1.12713;-2.57421;10.4595;
0.000258787;-1.32232;-2.58781;10.4417;
0.000259289;-1.39757;-2.59306;10.4281;
0.000259611;-1.44578;-2.59643;10.4128;
0.000259797;-1.47368;-2.5984;10.3963;
0.000259908;-1.49019;-2.59961;10.3772;
0.000259974;-1.50003;-2.60043;10.3519;
0.000260014;-1.50604;-2.60124;10.3059;
0.000260039;-1.5098;-2.60243;10.219;
0.00026007;-1.51454;-2.60398;10.0711;
0.000260087;-1.51699;-2.60458;9.9898;
0.000260108;-1.52009;-2.60516;9.88208;
0.000260129;-1.52336;-2.60563;9.76252;
0.000260165;-1.5287;-2.60627;9.55282;
0.000260205;-1.53466;-2.60696;9.29624;
0.000260245;-1.54068;-2.60773;9.01226;
0.000260296;-1.54834;-2.60877;8.61267;
0.000260386;-1.56179;-2.61063;7.80189;
0.000260517;-1.58135;-2.6131;6.38703;
0.000260644;-1.60024;-2.61472;4.83228;
0.000260774;-1.6197;-2.61542;3.16606;
0.000260891;-1.63718;-2.6157;1.66621;
0.000261028;-1.65767;-2.61593;-0.0925151;
0.000261174;-1.67942;-2.61588;-1.96258;
0.000261465;-1.72291;-2.61495;-5.70862;
0.000261605;-1.74387;-2.61412;-7.51761;
0.000261715;-1.76026;-2.61328;-8.93417;
0.000261776;-1.76934;-2.61276;-9.71996;
0.000261812;-1.77468;-2.61242;-10.181;
0.000261834;-1.77791;-2.61061;-10.3446;
0.000261855;-1.78104;-2.60739;-10.3736;
0.000261877;-1.78433;-2.60469;-10.3879;
0.00026189;-1.78629;-2.60356;-10.3939;
0.000261907;-1.78886;-2.60255;-10.3999;
0.000261923;-1.79127;-2.60201;-10.4045;
