time;V(U_a)1;V(U_o)1;
0;5.31909e-05;-0.000106238;
1e-07;5.31909e-05;-0.000106238;
2e-07;5.31909e-05;-0.000106238;
4e-07;5.31909e-05;-0.000106238;
8e-07;5.31909e-05;-0.000106238;
1.6e-06;5.31909e-05;-0.000106238;
3.2e-06;5.31909e-05;-0.000106238;
6.4e-06;5.31909e-05;-0.000106238;
1.28e-05;5.31909e-05;-0.000106238;
2.28e-05;5.31909e-05;-0.000106238;
3.28e-05;5.31909e-05;-0.000106238;
4.28e-05;5.31909e-05;-0.000106238;
5.28e-05;5.31909e-05;-0.000106238;
6.28e-05;5.31909e-05;-0.000106238;
7.28e-05;5.31909e-05;-0.000106238;
8.28e-05;5.31909e-05;-0.000106238;
9.28e-05;5.31909e-05;-0.000106238;
0.0001028;5.31909e-05;-0.000106238;
0.0001128;5.31909e-05;-0.000106238;
0.0001228;5.31909e-05;-0.000106238;
0.0001328;5.31909e-05;-0.000106238;
0.0001428;5.31909e-05;-0.000106238;
0.0001528;5.31909e-05;-0.000106238;
0.0001628;5.31909e-05;-0.000106238;
0.0001728;5.31909e-05;-0.000106238;
0.0001828;5.31909e-05;-0.000106238;
0.0001928;5.31909e-05;-0.000106238;
0.0002028;5.31909e-05;-0.000106238;
0.0002128;5.31909e-05;-0.000106238;
0.0002228;5.31909e-05;-0.000106238;
0.0002328;5.31909e-05;-0.000106238;
0.0002428;5.31909e-05;-0.000106238;
0.0002528;5.31909e-05;-0.000106238;
0.0002628;5.31909e-05;-0.000106238;
0.0002728;5.31909e-05;-0.000106238;
0.0002828;5.31909e-05;-0.000106238;
0.0002928;5.31909e-05;-0.000106238;
0.0003028;5.31909e-05;-0.000106238;
0.0003128;5.31909e-05;-0.000106238;
0.0003228;5.31909e-05;-0.000106238;
0.0003328;5.31909e-05;-0.000106238;
0.0003428;5.31909e-05;-0.000106238;
0.0003528;5.31909e-05;-0.000106238;
0.0003628;5.31909e-05;-0.000106238;
0.0003728;5.31909e-05;-0.000106238;
0.0003828;5.31909e-05;-0.000106238;
0.0003928;5.31909e-05;-0.000106238;
0.0004028;5.31909e-05;-0.000106238;
0.0004128;5.31909e-05;-0.000106237;
0.0004228;5.31909e-05;-0.000106238;
0.0004328;5.31909e-05;-0.000106237;
0.0004428;5.31909e-05;-0.000106238;
0.0004528;5.31909e-05;-0.000106237;
0.0004628;5.31909e-05;-0.000106238;
0.0004728;5.31909e-05;-0.000106237;
0.0004828;5.31909e-05;-0.000106238;
0.0004928;5.31909e-05;-0.000106237;
0.0005028;5.31909e-05;-0.000106238;
0.0005128;5.31909e-05;-0.000106237;
0.0005228;5.31909e-05;-0.000106238;
0.0005328;5.31909e-05;-0.000106237;
0.0005428;5.31909e-05;-0.000106238;
0.0005528;5.31909e-05;-0.000106237;
0.0005628;5.31909e-05;-0.000106238;
0.0005728;5.31909e-05;-0.000106237;
0.0005828;5.31909e-05;-0.000106238;
0.0005928;5.31909e-05;-0.000106237;
0.0006028;5.31909e-05;-0.000106238;
0.0006128;5.31909e-05;-0.000106237;
0.0006228;5.31909e-05;-0.000106238;
0.0006328;5.31909e-05;-0.000106237;
0.0006428;5.31909e-05;-0.000106238;
0.0006528;5.31909e-05;-0.000106237;
0.0006628;5.31909e-05;-0.000106238;
0.0006728;5.31909e-05;-0.000106237;
0.0006828;5.31909e-05;-0.000106238;
0.0006928;5.31909e-05;-0.000106237;
0.0007028;5.31909e-05;-0.000106238;
0.0007128;5.31909e-05;-0.000106237;
0.0007228;5.31909e-05;-0.000106238;
0.0007328;5.31909e-05;-0.000106237;
0.0007428;5.31909e-05;-0.000106238;
0.0007528;5.31909e-05;-0.000106237;
0.0007628;5.31909e-05;-0.000106238;
0.0007728;5.31909e-05;-0.000106237;
0.0007828;5.31909e-05;-0.000106238;
0.0007928;5.31909e-05;-0.000106237;
0.0008028;5.31909e-05;-0.000106238;
0.0008128;5.31909e-05;-0.000106237;
0.0008228;5.31909e-05;-0.000106239;
0.0008328;5.31909e-05;-0.000106237;
0.0008428;5.31909e-05;-0.000106239;
0.0008528;5.31909e-05;-0.000106236;
0.0008628;5.31909e-05;-0.000106239;
0.0008728;5.31909e-05;-0.000106236;
0.0008828;5.31909e-05;-0.000106239;
0.0008928;5.31909e-05;-0.000106236;
0.0009028;5.31909e-05;-0.000106239;
0.0009128;5.31909e-05;-0.000106236;
0.0009228;5.31909e-05;-0.000106239;
0.0009328;5.31909e-05;-0.000106236;
0.0009428;5.31909e-05;-0.00010624;
0.0009528;5.31909e-05;-0.000106236;
0.0009628;5.31909e-05;-0.00010624;
0.0009728;5.31909e-05;-0.000106235;
0.0009828;5.31909e-05;-0.00010624;
0.0009928;5.3191e-05;-0.000106235;
0.0010028;5.31909e-05;-0.00010624;
0.0010128;5.3191e-05;-0.000106235;
0.0010228;5.31909e-05;-0.000106241;
0.0010328;5.3191e-05;-0.000106234;
0.0010428;5.31909e-05;-0.000106241;
0.0010528;5.3191e-05;-0.000106234;
0.0010628;5.31909e-05;-0.000106241;
0.0010728;5.3191e-05;-0.000106234;
0.0010828;5.31908e-05;-0.000106242;
0.0010928;5.3191e-05;-0.000106233;
0.0011028;5.31908e-05;-0.000106242;
0.0011128;5.3191e-05;-0.000106233;
0.0011228;5.31908e-05;-0.000106243;
0.0011328;5.3191e-05;-0.000106232;
0.0011428;5.31908e-05;-0.000106244;
0.0011528;5.3191e-05;-0.000106231;
0.0011628;5.31908e-05;-0.000106244;
0.0011728;5.3191e-05;-0.00010623;
0.0011828;5.31908e-05;-0.000106245;
0.0011928;5.3191e-05;-0.00010623;
0.0012028;5.31908e-05;-0.000106246;
0.0012128;5.31911e-05;-0.000106229;
0.0012228;5.31908e-05;-0.000106247;
0.0012328;5.31911e-05;-0.000106228;
0.0012428;5.31907e-05;-0.000106248;
0.0012528;5.31911e-05;-0.000106226;
0.0012628;5.31907e-05;-0.00010625;
0.0012728;5.31911e-05;-0.000106225;
0.0012828;5.31907e-05;-0.000106251;
0.0012928;5.31911e-05;-0.000106223;
0.0013028;5.31907e-05;-0.000106253;
0.0013128;5.31912e-05;-0.000106222;
0.0013228;5.31906e-05;-0.000106254;
0.0013328;5.31912e-05;-0.00010622;
0.0013428;5.31906e-05;-0.000106256;
0.0013528;5.31912e-05;-0.000106218;
0.0013628;5.31906e-05;-0.000106259;
0.0013728;5.31913e-05;-0.000106215;
0.0013828;5.31905e-05;-0.000106261;
0.0013928;5.31913e-05;-0.000106212;
0.0014028;5.31905e-05;-0.000106264;
0.0014128;5.31913e-05;-0.000106209;
0.0014228;5.31904e-05;-0.000106267;
0.0014328;5.31914e-05;-0.000106206;
0.0014428;5.31904e-05;-0.000106271;
0.0014528;5.31915e-05;-0.000106202;
0.0014628;5.31903e-05;-0.000106275;
0.0014728;5.31915e-05;-0.000106198;
0.0014828;5.31903e-05;-0.00010628;
0.0014928;5.31916e-05;-0.000106193;
0.0015028;5.31902e-05;-0.000106285;
0.0015128;5.31917e-05;-0.000106188;
0.0015228;5.31901e-05;-0.000106291;
0.0015328;5.31918e-05;-0.000106181;
0.0015428;5.319e-05;-0.000106297;
0.0015528;5.31919e-05;-0.000106175;
0.0015628;5.31899e-05;-0.000106304;
0.0015728;5.3192e-05;-0.000106167;
0.0015828;5.31898e-05;-0.000106312;
0.0015928;5.31921e-05;-0.000106158;
0.0016028;5.31896e-05;-0.000106321;
0.0016128;5.31923e-05;-0.000106149;
0.0016228;5.31895e-05;-0.000106332;
0.0016328;5.31925e-05;-0.000106138;
0.0016428;5.31893e-05;-0.000106343;
0.0016528;5.31926e-05;-0.000106126;
0.0016628;5.31891e-05;-0.000106356;
0.0016728;5.31929e-05;-0.000106112;
0.0016828;5.31889e-05;-0.00010637;
0.0016928;5.31931e-05;-0.000106097;
