Freq.	V(n005)
1.00000000000000e+000	(1.22396729324707e+001dB,9.43120670592972e+001°)
1.25892541179417e+000	(1.02540081490387e+001dB,9.54224500613390e+001°)
1.58489319246111e+000	(8.27663145336343e+000dB,9.68144833480219e+001°)
1.99526231496888e+000	(6.31224730663023e+000dB,9.85553581153572e+001°)
2.51188643150958e+000	(4.36810307058956e+000dB,1.00724232667328e+002°)
3.16227766016838e+000	(2.45518277395013e+000dB,1.03410475214031e+002°)
3.98107170553497e+000	(5.89714977736371e-001dB,1.06707684217490e+002°)
5.01187233627272e+000	(-1.20525143997505e+000dB,1.10700512041350e+002°)
6.30957344480194e+000	(-2.89890945613220e+000dB,1.15441358618390e+002°)
7.94328234724282e+000	(-4.45373463500792e+000dB,1.20917127860302e+002°)
1.00000000000000e+001	(-5.83013084073585e+000dB,1.27014795775235e+002°)
1.25892541179417e+001	(-6.99513714130214e+000dB,1.33506236422301e+002°)
1.58489319246111e+001	(-7.93249446527701e+000dB,1.40074913560816e+002°)
1.99526231496888e+001	(-8.64851406096332e+000dB,1.46385468922430e+002°)
2.51188643150958e+001	(-9.16973019300432e+000dB,1.52163475573053e+002°)
3.16227766016838e+001	(-9.53400199359515e+000dB,1.57243554989684e+002°)
3.98107170553498e+001	(-9.78062830192495e+000dB,1.61571042684958e+002°)
5.01187233627273e+001	(-9.94376833037891e+000dB,1.65173179591424e+002°)
6.30957344480194e+001	(-1.00499479636689e+001dB,1.68123527441671e+002°)
7.94328234724283e+001	(-1.01183035927183e+001dB,1.70513763688197e+002°)
1.00000000000000e+002	(-1.01619932983223e+001dB,1.72436195133381e+002°)
1.25892541179417e+002	(-1.01897874992114e+001dB,1.73974921894211e+002°)
1.58489319246112e+002	(-1.02074164010173e+001dB,1.75202480217130e+002°)
1.99526231496888e+002	(-1.02185763843616e+001dB,1.76179447193253e+002°)
2.51188643150958e+002	(-1.02256325874757e+001dB,1.76955420824653e+002°)
3.16227766016838e+002	(-1.02300905702571e+001dB,1.77570498827062e+002°)
3.98107170553498e+002	(-1.02329055863710e+001dB,1.78056819391603e+002°)
5.01187233627273e+002	(-1.02346824631876e+001dB,1.78439970810512e+002°)
6.30957344480194e+002	(-1.02358036259263e+001dB,1.78740201632745e+002°)
7.94328234724283e+002	(-1.02365106340002e+001dB,1.78973422142601e+002°)
1.00000000000000e+003	(-1.02369559185464e+001dB,1.79152013008609e+002°)
1.25892541179417e+003	(-1.02372355240076e+001dB,1.79285465196229e+002°)
1.58489319246112e+003	(-1.02374097753158e+001dB,1.79380875655652e+002°)
1.99526231496888e+003	(-1.02375162735454e+001dB,1.79443320367085e+002°)
2.51188643150959e+003	(-1.02375780019697e+001dB,1.79476122186953e+002°)
3.16227766016839e+003	(-1.02376082829861e+001dB,1.79481026535551e+002°)
3.98107170553498e+003	(-1.02376136522006e+001dB,1.79458293654025e+002°)
5.01187233627273e+003	(-1.02375952686261e+001dB,1.79406711999863e+002°)
6.30957344480195e+003	(-1.02375491649146e+001dB,1.79323533264325e+002°)
7.94328234724283e+003	(-1.02374653916918e+001dB,1.79204325321132e+002°)
1.00000000000000e+004	(-1.02373258719243e+001dB,1.79042734930896e+002°)
1.25892541179417e+004	(-1.02371005039537e+001dB,1.78830146934457e+002°)
1.58489319246112e+004	(-1.02367406765661e+001dB,1.78555220557458e+002°)
1.99526231496889e+004	(-1.02361688077382e+001dB,1.78203275695186e+002°)
2.51188643150959e+004	(-1.02352616777318e+001dB,1.77755491636150e+002°)
3.16227766016839e+004	(-1.02338240313465e+001dB,1.77187865853721e+002°)
3.98107170553498e+004	(-1.02315469338554e+001dB,1.76469858039015e+002°)
5.01187233627274e+004	(-1.02279423529393e+001dB,1.75562608415848e+002°)
6.30957344480195e+004	(-1.02222410157977e+001dB,1.74416557878900e+002°)
7.94328234724284e+004	(-1.02132344766595e+001dB,1.72968187613219e+002°)
1.00000000000000e+005	(-1.01990349757017e+001dB,1.71135391587100e+002°)
1.25892541179417e+005	(-1.01767212360926e+001dB,1.68810603491904e+002°)
1.58489319246112e+005	(-1.01418467917306e+001dB,1.65850029498269e+002°)
1.99526231496889e+005	(-1.00878494331324e+001dB,1.62055797349335e+002°)
2.51188643150959e+005	(-1.00056438239556e+001dB,1.57144734007050e+002°)
3.16227766016839e+005	(-9.88452114056080e+000dB,1.50691444740868e+002°)
3.98107170553499e+005	(-9.71829475046134e+000dB,1.42023432832526e+002°)
5.01187233627274e+005	(-9.52972273308263e+000dB,1.30043289340328e+002°)
6.30957344480196e+005	(-9.45060991224553e+000dB,1.13056619040175e+002°)
7.94328234724285e+005	(-9.90703894641806e+000dB,8.93400533967449e+001°)
1.00000000000000e+006	(-1.16592059498065e+001dB,6.02000768866990e+001°)
