#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AA2BA2
#Date Time: 2024-02-13 20:14:20.802
#Start: 1 Hz
#Stop: 890000 Hz
#Steps: 51
#Wavegen: Wavegen C1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 5.56241 V
#Offset: -0.000204024 V
#Relative: no
#Channel: Channel 2
#Range: 5.52841 V
#Offset: -9.79359e-05 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
1.000000000000001,-0.007119004034878211,7.757507384314949,93.05370389916499
1.315187886425111,-0.007274132800139671,8.897429429267703,93.99891023119282
1.729719176599348,-0.007362176833281931,7.280316356698401,95.2373516190239
2.274905707980677,-0.007338616268756903,4.918054293394778,96.8630406642979
2.991928429895518,-0.007081388005566611,2.59311797578494,98.98634791691676
3.934948028049483,-0.0069727010646427,0.2886117469157063,101.7368059455036
5.175195980203052,-0.007160801615189824,-1.963385963444848,105.2700285922572
6.806355063038974,-0.007291647479617806,-4.128223226452882,109.7404228722625
8.95163572961707,-0.007317289801315802,-6.157410891615092,115.2527769546614
11.77308287528257,-0.007053149387765001,-7.993626518212293,121.8016390635817
15.48381598345053,-0.006984950766389863,-9.57186650274612,129.1910384185664
20.36412721706963,-0.007180676761403592,-10.83753168571752,136.9843874845064
26.78265343350985,-0.007228709945661646,-11.78720963008261,144.6440204010004
35.22422136207402,-0.00761382365802392,-12.44908853227824,151.6478130730341
46.32646924415632,-0.007428232889818568,-12.8834659809429,157.6901824972224
60.92801117075979,-0.007179518830454874,-13.15644368570627,162.6676714920212
80.13178223575703,-0.007554486407833852,-13.32163097293943,166.6470015144046
105.3883493141224,-0.007555251876860573,-13.42078200889887,169.7653969585296
138.6054803882715,-0.007600316977837712,-13.47926816839389,172.1794998809405
182.2922487987877,-0.007548588037468643,-13.51445218888603,174.0396919356661
239.7485574093579,-0.007350234389938534,-13.53356415814933,175.4603959394601
315.314398492682,-0.007374674362703175,-13.54542101312736,176.5372207767484
414.6976773129952,-0.007928164254311832,-13.54945312847405,177.3618403370581
545.4053617306802,-0.008130736287819709,-13.55513171625209,177.9852705527273
717.3105249394955,-0.007659314168902922,-13.55734773758227,178.4784111527658
943.3981132056609,-0.007591381305758664,-13.55930309565329,178.8397355645711
1240.745770564389,-0.007613256842315415,-13.55860899311326,179.1316758913656
1631.813807579473,-0.007239430803133788,-13.55715051636683,179.3138696404872
2146.141752629757,-0.00594760168124296,-13.55819261384332,179.4708138594948
2822.579635609807,-0.005099957682905523,-13.55670510114698,179.5905051686079
3712.222545224218,-0.003782451739109446,-13.5538656241137,179.663208121934
4882.27012319308,-0.005726667144905551,-13.55097385696026,179.7070564119873
6421.102524278765,0.001175459031809408,-13.54907083667261,179.7058448174502
8444.956257425123,0.0006878912381238331,-13.54332417408854,179.6958914110642
11106.70417115545,0.006808008054557027,-13.54250203480726,179.6589001237929
14607.40278401086,0.01437775044001532,-13.5400728030307,179.5736398462126
19211.4791936635,0.01809169796974115,-13.53639107575661,179.4247732909006
25266.70471581427,0.01680144033720712,-13.53839457076395,179.2313219178908
33230.46397211911,0.03132386398642456,-13.53098446547948,179.0112261243866
43704.30367641708,0.0420699199228706,-13.53005600430378,178.6993300308552
57479.37077986812,0.05552272422655126,-13.52519441338035,178.3148974897946
75596.17216901983,0.06083267761251412,-13.52109607487459,177.7648996266462
99423.1698968019,0.07798364747611153,-13.51110617620225,177.0443901443824
130760.1486782595,0.07764876158933659,-13.49129453715656,176.1014970066499
171974.1635687931,0.08108732450498347,-13.46774641907939,174.9359033150595
226178.3367037671,0.05013973935466394,-13.40369146735229,173.2463063342521
297467.0086045742,0.03165767027798497,-13.30658030288257,171.1056969244246
391225.0063278492,0.01020378530284738,-13.13993944089999,168.0413827560919
514534.389188974,-0.01585837293673982,-12.86758152128231,164.0190137881883
676709.3958104815,-0.05263740798742726,-12.36248058885007,158.4278640806042
890000,-0.07088610019713186,-11.43767228278504,149.8243207500632
