frequency;V(auspifilter)5;V(auspifilter)9;
1;54.759;-173.404;
1.07978;54.9235;-172.872;
1.16591;54.9377;-172.34;
1.25893;54.8035;-171.811;
1.35936;54.5242;-171.288;
1.4678;54.1042;-170.772;
1.58489;53.5494;-170.266;
1.71133;52.8671;-169.772;
1.84785;52.0661;-169.291;
1.99526;51.1566;-168.827;
2.15443;50.1505;-168.38;
2.32631;49.0612;-167.952;
2.51189;47.9034;-167.545;
2.71227;46.6931;-167.16;
2.92864;45.4473;-166.797;
3.16228;44.1834;-166.458;
3.41455;42.9194;-166.142;
3.68695;41.6732;-165.848;
3.98107;40.462;-165.578;
4.29866;39.3025;-165.329;
4.64159;38.2102;-165.1;
5.01187;37.1995;-164.891;
5.4117;36.2832;-164.699;
5.84341;35.4727;-164.523;
6.30957;34.7777;-164.36;
6.81292;34.2068;-164.21;
7.35642;33.7667;-164.069;
7.94328;33.4632;-163.936;
8.57696;33.3006;-163.808;
9.26119;33.2821;-163.684;
10;33.41;-163.562;
10.7978;33.6853;-163.438;
11.6591;34.1082;-163.312;
12.5893;34.6776;-163.181;
13.5936;35.3917;-163.042;
14.678;36.247;-162.894;
15.8489;37.2392;-162.735;
17.1133;38.3626;-162.563;
18.4785;39.6099;-162.375;
19.9526;40.9725;-162.169;
21.5443;42.4403;-161.945;
23.2631;44.002;-161.7;
25.1189;45.6449;-161.433;
27.1227;47.3552;-161.143;
29.2864;49.1185;-160.829;
31.6228;50.9198;-160.491;
34.1455;52.7442;-160.128;
36.8695;54.5768;-159.741;
39.8107;56.4036;-159.329;
42.9866;58.2115;-158.895;
46.4159;59.9885;-158.438;
50.1187;61.7242;-157.96;
54.117;63.4097;-157.462;
58.4341;65.0377;-156.946;
63.0957;66.6025;-156.413;
68.1292;68.0999;-155.864;
73.5642;69.527;-155.301;
79.4328;70.8822;-154.725;
85.7696;72.1649;-154.138;
92.6119;73.3756;-153.541;
100;74.5153;-152.935;
107.978;75.5859;-152.321;
116.591;76.5893;-151.7;
125.893;77.5282;-151.073;
135.936;78.4052;-150.441;
146.78;79.2234;-149.804;
158.489;79.9856;-149.163;
171.133;80.6949;-148.518;
184.785;81.3542;-147.87;
199.526;81.9665;-147.22;
215.443;82.5345;-146.567;
232.631;83.0611;-145.913;
251.189;83.5487;-145.257;
271.227;84;-144.599;
292.864;84.4171;-143.94;
316.228;84.8023;-143.28;
341.455;85.1577;-142.619;
