time	V(schleifenfilter)	V(vco_out)	V(n007)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
9.999999717180685e-010	-4.300335e-013	-3.661615e-014	0.000000e+000
1.999999943436137e-009	-1.017504e-012	-1.153269e-013	0.000000e+000
7.999999773744548e-009	-6.535937e-012	-1.188818e-012	0.000000e+000
1.599999954748910e-008	-1.576213e-011	-3.653167e-012	0.000000e+000
2.765152119611563e-008	-3.057486e-011	-7.964171e-012	0.000000e+000
3.991623347056047e-008	-4.708075e-011	-1.270988e-011	0.000000e+000
5.322574900726135e-008	-6.551210e-011	-1.789853e-011	0.000000e+000
6.700053668835656e-008	-8.476556e-011	-2.325507e-011	0.000000e+000
8.418195441999639e-008	-1.087709e-010	-2.985040e-011	0.000000e+000
1.024643151697943e-007	-1.342950e-010	-3.680046e-011	0.000000e+000
1.216414824667232e-007	-1.610551e-010	-4.409277e-011	0.000000e+000
1.448048200345580e-007	-1.932324e-010	-5.283717e-011	0.000000e+000
1.856532828890454e-007	-2.490572e-010	-6.811543e-011	0.000000e+000
2.241873433412901e-007	-3.004872e-010	-8.185270e-011	0.000000e+000
2.657421594270559e-007	-3.551879e-010	-9.668285e-011	0.000000e+000
3.056587063074648e-007	-4.064977e-010	-1.108282e-010	0.000000e+000
3.381157210403286e-007	-4.466484e-010	-1.214625e-010	0.000000e+000
3.681585801156219e-007	-4.831251e-010	-1.313980e-010	0.000000e+000
3.975404135429707e-007	-5.186367e-010	-1.411239e-010	0.000000e+000
4.289406073328383e-007	-5.561265e-010	-1.514712e-010	0.000000e+000
4.582331498378821e-007	-5.900900e-010	-1.609036e-010	0.000000e+000
4.785972939674071e-007	-6.128243e-010	-1.670800e-010	0.000000e+000
4.993237523266112e-007	-6.341351e-010	-1.733481e-010	0.000000e+000
5.189311135607559e-007	-6.510077e-010	-1.774648e-010	0.000000e+000
5.288716478810004e-007	-6.581799e-010	-1.791055e-010	0.000000e+000
5.354267140343869e-007	-6.626698e-010	-1.802720e-010	0.000000e+000
5.414165223244543e-007	-6.667045e-010	-1.812266e-010	0.000000e+000
5.495006442505679e-007	-6.719924e-010	-1.825482e-010	0.000000e+000
5.553615029172456e-007	-6.757526e-010	-1.834527e-010	0.000000e+000
5.602129045800863e-007	-6.787972e-010	-1.842036e-010	0.000000e+000
5.658872870551494e-007	-6.822932e-010	-1.850518e-010	0.000000e+000
5.722881332443459e-007	-6.861587e-010	-1.859951e-010	0.000000e+000
5.800887126576915e-007	-6.907480e-010	-1.871117e-010	0.000000e+000
5.901363279567061e-007	-6.964564e-010	-1.884988e-010	0.000000e+000
6.031932249094737e-007	-7.035431e-010	-1.902142e-010	0.000000e+000
6.209569439264350e-007	-7.125928e-010	-1.924001e-010	0.000000e+000
6.449781566082516e-007	-7.237398e-010	-1.950811e-010	0.000000e+000
6.807077535653808e-007	-7.380447e-010	-1.985209e-010	0.000000e+000
7.317886806555690e-007	-7.537417e-010	-2.022640e-010	0.000000e+000
8.131893888562178e-007	-7.674540e-010	-2.055868e-010	0.000000e+000
9.250506893125953e-007	-7.710342e-010	-2.041046e-010	0.000000e+000
1.088621176548672e-006	-7.682991e-010	-2.011641e-010	0.000000e+000
1.360015454863862e-006	-7.666732e-010	-2.006834e-010	0.000000e+000
1.784709677173071e-006	-7.666683e-010	-2.001781e-010	0.000000e+000
2.045943709429485e-006	-7.666626e-010	-2.003935e-010	0.000000e+000
2.234748334301478e-006	-7.666525e-010	-2.002023e-010	0.000000e+000
2.432800891410048e-006	-7.666474e-010	-2.003649e-010	0.000000e+000
2.596560588074442e-006	-7.666470e-010	-2.002259e-010	0.000000e+000
2.769278160530101e-006	-7.666415e-010	-2.003419e-010	0.000000e+000
3.004834858624723e-006	-7.658121e-010	-2.002416e-010	0.000000e+000
3.345782622407398e-006	-7.611658e-010	-2.016039e-010	0.000000e+000
3.947523592991108e-006	-7.445849e-010	-2.062732e-010	0.000000e+000
4.552827649113016e-006	1.217483e-009	-2.151080e-010	0.000000e+000
5.763435761356831e-006	8.446841e-009	8.687120e-009	0.000000e+000
7.848401545621882e-006	1.510461e-008	2.587342e-009	0.000000e+000
1.141209220750361e-005	1.668501e-008	5.818010e-009	0.000000e+000
1.771975114302723e-005	1.670181e-008	2.057142e-009	0.000000e+000
2.000000000000000e-005	1.607596e-008	5.931577e-009	0.000000e+000
2.014297121022546e-005	1.642502e-008	1.194854e-009	0.000000e+000
2.042891363067639e-005	1.667052e-008	1.296941e-008	0.000000e+000
2.100079847157824e-005	1.669544e-008	-1.239621e-008	0.000000e+000
2.214456815338194e-005	1.669186e-008	2.516369e-008	0.000000e+000
2.325468532815512e-005	1.669516e-008	-2.481091e-008	0.000000e+000
2.547491967770148e-005	1.669608e-008	3.659222e-008	0.000000e+000
7.022827096308266e-004	1.763043e-008	9.052516e-009	0.000000e+000
1.379090499583952e-003	1.855453e-008	-1.958221e-008	0.000000e+000
2.055898289537077e-003	1.946838e-008	-4.931197e-008	0.000000e+000
2.732706079490202e-003	2.037199e-008	-8.013676e-008	0.000000e+000
3.409513869443327e-003	2.126534e-008	-1.120566e-007	0.000000e+000
4.086321659396452e-003	2.214844e-008	-1.450714e-007	0.000000e+000
4.763129449349575e-003	2.302129e-008	-1.791813e-007	0.000000e+000
4.863129449349576e-003	2.314948e-008	-9.445767e-008	0.000000e+000
4.963129449349576e-003	2.325874e-008	-1.853312e-007	0.000000e+000
4.975629449349576e-003	2.327941e-008	-1.413784e-007	0.000000e+000
5.000629449349576e-003	2.332549e-008	-1.426782e-007	0.000000e+000
5.001065378852702e-003	2.332603e-008	-1.423429e-007	0.000000e+000
5.001937237858952e-003	2.332712e-008	-1.425233e-007	0.000000e+000
5.003680955871453e-003	2.332935e-008	-1.423733e-007	0.000000e+000
5.003966724202109e-003	2.332972e-008	-1.425336e-007	0.000000e+000
5.004538260863421e-003	2.333044e-008	-1.424337e-007	0.000000e+000
5.005035677578010e-003	2.333108e-008	-1.426671e-007	0.000000e+000
5.005160031756657e-003	2.333122e-008	-1.422724e-007	0.000000e+000
5.005408740113952e-003	2.333164e-008	-1.436820e-007	0.000000e+000
5.005672834673554e-003	2.333313e-008	-1.379408e-007	0.000000e+000
5.005728434581186e-003	2.333542e-008	-1.271486e-007	0.000000e+000
5.005839634396450e-003	2.337651e-008	-5.491763e-008	0.000000e+000
5.005975712666294e-003	2.360799e-008	1.004119e-006	0.000000e+000
5.006068795001634e-003	2.400979e-008	4.262436e-006	0.000000e+000
5.006085985939817e-003	2.416533e-008	5.481701e-006	0.000000e+000
5.006120367816184e-003	2.473598e-008	8.595196e-006	0.000000e+000
5.006179646955269e-003	2.644606e-008	1.902562e-005	0.000000e+000
5.006227842991443e-003	2.889806e-008	3.576146e-005	0.000000e+000
5.006263524215074e-003	3.191775e-008	5.660652e-005	0.000000e+000
5.006293034766128e-003	3.574970e-008	8.255334e-005	0.000000e+000
5.006321432277331e-003	4.123438e-008	1.186264e-004	0.000000e+000
5.006353295674481e-003	5.036733e-008	1.783481e-004	0.000000e+000
5.006385882154649e-003	6.476342e-008	2.706635e-004	0.000000e+000
5.006423939984999e-003	9.078306e-008	4.416660e-004	0.000000e+000
5.006457348024819e-003	1.254904e-007	6.774680e-004	0.000000e+000
5.006486124263325e-003	1.698731e-007	9.778669e-004	0.000000e+000
5.006513662310539e-003	2.324505e-007	1.388863e-003	0.000000e+000
5.006545616474301e-003	3.400621e-007	2.089800e-003	0.000000e+000
5.006578815777756e-003	5.117718e-007	3.196428e-003	0.000000e+000
5.006616165605603e-003	8.170940e-007	5.165803e-003	0.000000e+000
