frequency;V(U_aus) (mag);V(U_aus) (phase);
1;-0.000552748;-0.720043;
1.25893;-0.000552737;-0.906474;
1.58489;-0.00055272;-1.14117;
1.99526;-0.000552694;-1.43662;
2.51189;-0.000552651;-1.80854;
3.16228;-0.000552584;-2.27671;
3.98107;-0.000552477;-2.86598;
5.01187;-0.000552308;-3.60762;
6.30957;-0.00055204;-4.54085;
7.94328;-0.000551616;-5.71484;
10;-0.000550947;-7.19108;
12.5893;-0.000549889;-9.04609;
15.8489;-0.000548222;-11.3746;
19.9526;-0.000545606;-14.2924;
25.1189;-0.00054152;-17.9389;
31.6228;-0.000535191;-22.4773;
39.8107;-0.000525517;-28.0894;
50.1187;-0.000511018;-34.9615;
63.0957;-0.000489916;-43.2541;
79.4328;-0.000460486;-53.0507;
100;-0.000421791;-64.2886;
125.893;-0.000374671;-76.6942;
158.489;-0.000322374;-89.7667;
199.526;-0.000269982;-102.852;
251.189;-0.000222615;-115.293;
316.228;-0.000183609;-126.58;
398.107;-0.000153892;-136.433;
501.187;-0.00013258;-144.783;
630.957;-0.000117974;-151.708;
794.328;-0.000108314;-157.367;
1000;-0.00010214;-161.948;
1258.93;-9.83909e-05;-165.632;
1584.89;-9.63702e-05;-168.585;
1995.26;-9.56886e-05;-170.946;
2511.89;-9.6218e-05;-172.834;
3162.28;-9.80801e-05;-174.344;
3981.07;-0.00010168;-175.556;
5011.87;-0.000107796;-176.532;
6309.57;-0.000117749;-177.323;
7943.28;-0.000133687;-177.972;
10000;-0.00015905;-178.514;
12589.3;-0.000199314;-178.976;
15848.9;-0.000263168;-179.384;
19952.6;-0.000364396;-179.759;
25118.9;-0.000524846;179.878;
31622.8;-0.000779148;179.51;
39810.7;-0.00118219;179.115;
50118.7;-0.00182093;178.673;
63095.7;-0.00283321;178.16;
79432.8;-0.00443739;177.549;
100000;-0.00697941;176.809;
125893;-0.0110071;175.898;
158489;-0.0173879;174.77;
199526;-0.0274937;173.364;
251189;-0.043493;171.608;
316228;-0.0688063;169.411;
398107;-0.108815;166.66;
501187;-0.17195;163.22;
630957;-0.271322;158.929;
794328;-0.427096;153.599;
1e+06;-0.669711;147.025;
