frequency;V(U_aus) (mag);V(U_aus) (phase);
1;-218.235;-0.924982;
1.25893;-218.236;-1.16445;
1.58489;-218.236;-1.4659;
1.99526;-218.238;-1.84532;
2.51189;-218.239;-2.32287;
3.16228;-218.242;-2.92382;
3.98107;-218.247;-3.67986;
5.01187;-218.254;-4.63066;
6.30957;-218.266;-5.82566;
7.94328;-218.284;-7.3261;
10;-218.312;-9.20725;
12.5893;-218.357;-11.5601;
15.8489;-218.428;-14.492;
19.9526;-218.537;-18.125;
25.1189;-218.706;-22.5882;
31.6228;-218.962;-28.0028;
39.8107;-219.342;-34.4561;
50.1187;-219.89;-41.9667;
63.0957;-220.652;-50.4558;
79.4328;-221.666;-59.7444;
100;-222.956;-69.5925;
125.893;-224.531;-79.7647;
158.489;-226.39;-90.0775;
199.526;-228.531;-100.395;
251.189;-230.955;-110.582;
316.228;-233.664;-120.456;
398.107;-236.65;-129.783;
501.187;-239.888;-138.326;
630.957;-243.34;-145.91;
794.328;-246.96;-152.463;
1000;-250.705;-158.014;
1258.93;-254.536;-162.669;
1584.89;-258.428;-166.58;
1995.26;-262.361;-169.935;
2511.89;-266.32;-172.971;
3162.28;-270.294;-176.011;
3981.07;-274.281;-179.558;
5011.87;-278.237;175.5;
6309.57;-282.102;167.601;
7943.28;-285.562;154.388;
10000;-287.806;135.022;
12589.3;-288.192;113.749;
15848.9;-287.062;98.0043;
19952.6;-285.348;88.1599;
25118.9;-283.492;81.2293;
31622.8;-281.64;75.8345;
39810.7;-279.841;70.663;
50118.7;-278.152;65.4768;
63095.7;-276.591;59.685;
79432.8;-275.209;53.419;
100000;-274.037;46.8283;
125893;-273.097;40.2217;
158489;-272.375;33.8589;
199526;-271.847;28.0322;
251189;-271.484;22.9302;
316228;-271.232;18.563;
398107;-271.07;14.9391;
501187;-270.96;11.961;
630957;-270.893;9.55421;
794328;-270.846;7.61226;
1e+06;-270.821;6.06208;
