frequency;V(U_aus) (mag);V(U_aus) (phase);
1;63.3311;90.2234;
1.25893;61.3311;90.1052;
1.58489;59.3312;89.9925;
1.99526;57.3312;89.8795;
2.51189;55.3312;89.7601;
3.16228;53.3311;89.6279;
3.98107;51.331;89.4759;
5.01187;49.3309;89.296;
6.30957;47.3306;89.0786;
7.94328;45.3303;88.8121;
10;43.3297;88.4824;
12.5893;41.3287;88.0719;
15.8489;39.3272;87.5588;
19.9526;37.3249;86.9159;
25.1189;35.3211;86.1091;
31.6228;33.3152;85.0958;
39.8107;31.3057;83.8227;
50.1187;29.2908;82.2233;
63.0957;27.2673;80.2153;
79.4328;25.23;77.6969;
100;23.1714;74.5447;
125.893;21.0792;70.6113;
158.489;18.9352;65.7272;
199.526;16.712;59.7085;
251.189;14.3698;52.3761;
316.228;11.8544;43.5929;
398.107;9.09695;33.321;
501.187;6.01965;21.6905;
630.957;2.54974;9.04967;
794.328;-1.36156;-4.04819;
1000;-5.72286;-16.9445;
1258.93;-10.4995;-29.0286;
1584.89;-15.6255;-39.8653;
1995.26;-21.0228;-49.2417;
2511.89;-26.6174;-57.1347;
3162.28;-32.3485;-63.6431;
3981.07;-38.1699;-68.9194;
5011.87;-44.0481;-73.1159;
6309.57;-49.9589;-76.3422;
7943.28;-55.8834;-78.6203;
10000;-61.8034;-79.8166;
12589.3;-67.6928;-79.5219;
15848.9;-73.4935;-76.8526;
19952.6;-79.0404;-70.2563;
25118.9;-83.8916;-58.0457;
31622.8;-87.2984;-41.3626;
39810.7;-88.9919;-26.0246;
50118.7;-89.616;-16.0033;
63095.7;-89.8183;-10.6306;
79432.8;-89.8841;-8.14026;
100000;-89.908;-7.31803;
125893;-89.9195;-7.51695;
158489;-89.9286;-8.43469;
199526;-89.9396;-9.96117;
251189;-89.9558;-12.0971;
316228;-89.9809;-14.9148;
398107;-90.0204;-18.5412;
501187;-90.0828;-23.1536;
630957;-90.1817;-28.9814;
794328;-90.338;-36.3091;
1e+06;-90.5851;-45.4795;
