frequency;V(U_aus) (mag);V(U_aus) (phase);
1;140.314;-89.5304;
1.25893;138.314;-89.4088;
1.58489;136.314;-89.2558;
1.99526;134.313;-89.0631;
2.51189;132.312;-88.8207;
3.16228;130.31;-88.5156;
3.98107;128.308;-88.1317;
5.01187;126.303;-87.6488;
6.30957;124.297;-87.0419;
7.94328;122.286;-86.2797;
10;120.269;-85.3237;
12.5893;118.242;-84.1275;
15.8489;116.201;-82.6357;
19.9526;114.135;-80.7855;
25.1189;112.033;-78.5099;
31.6228;109.876;-75.7474;
39.8107;107.638;-72.4589;
50.1187;105.283;-68.6565;
63.0957;102.772;-64.4409;
79.4328;100.063;-60.0345;
100;97.1208;-55.7883;
125.893;93.9283;-52.1425;
158.489;90.4865;-49.5484;
199.526;86.8084;-48.3908;
251.189;82.9074;-48.9426;
316.228;78.7861;-51.3534;
398.107;74.4316;-55.65;
501.187;69.8166;-61.7336;
630.957;64.9076;-69.381;
794.328;59.675;-78.2693;
1000;54.0998;-88.0257;
1258.93;48.1748;-98.2753;
1584.89;41.9017;-108.657;
1995.26;35.2912;-118.815;
2511.89;28.3666;-128.4;
3162.28;21.1662;-137.098;
3981.07;13.7401;-144.669;
5011.87;6.14282;-150.941;
6309.57;-1.57364;-155.745;
7943.28;-9.36043;-158.789;
10000;-17.16;-159.446;
12589.3;-24.8592;-156.466;
15848.9;-32.1505;-147.939;
19952.6;-38.3298;-133.118;
25118.9;-42.7089;-116.474;
31622.8;-45.6331;-104.301;
39810.7;-47.9147;-97.5502;
50118.7;-49.9923;-94.3407;
63095.7;-52.0128;-93.0734;
79432.8;-54.0186;-92.848;
100000;-56.0216;-93.2173;
125893;-58.0257;-93.98;
158489;-60.0328;-95.0652;
199526;-62.0445;-96.4738;
251189;-64.0636;-98.2507;
316228;-66.0941;-100.472;
398107;-68.1423;-103.241;
501187;-70.2183;-106.684;
630957;-72.3373;-110.95;
794328;-74.5219;-116.201;
1e+06;-76.8051;-122.599;
